Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	307831.24	307831.24	307831.24	307831.24	0	0	0	0	0	0	3
2	1	0	0.05	716113.706	511972.473	307831.24	716113.706	204141.233	0	0	0	0	0	3
3	1	0	0.075	718600.011	580848.319	307831.24	718600.011	273017.079	0	0	0	0	0	3
4	1	0	0.1	783718.163	631565.78	307831.24	783718.163	323734.54	0	0	0	0	0	3
5	1	0	0.125	789321.282	663116.88	307831.24	789321.282	355285.64	0	0	0	0	0	3
6	1	0	0.15	782556.694	683023.516	307831.24	789321.282	375192.276	0	0	0	0	0	3
7	1	0	0.175	777564.352	696529.35	307831.24	789321.282	388698.11	0	0	0	0	0	3
8	1	0	0.2	777252.767	706619.777	307831.24	789321.282	398788.537	0	0	0	0	0	3
9	1	0	0.225	777668.445	714514.073	307831.24	789321.282	406682.833	0	0	0	0	0	3
10	1	0	0.25	778176.474	720880.313	307831.24	789321.282	413049.073	0	0	0	0	0	3
11	1	0	0.275	777864.587	726060.702	307831.24	789321.282	418229.462	0	0	0	0	0	3
12	1	0	0.3	778703.492	730447.601	307831.24	789321.282	422616.361	0	0	0	0	0	3
13	1	0	0.325	779485.4	734219.739	307831.24	789321.282	426388.499	0	0	0	0	0	3
14	1	0	0.35	780073.274	737494.992	307831.24	789321.282	429663.752	0	0	0	0	0	3
15	2	0	0.375	780666.349	740373.082	307831.24	789321.282	432541.842	0	0	0	0	0	3
16	2	0	0.4	780802.003	742899.89	307831.24	789321.282	435068.65	0	0	0	0	0	3
17	2	0	0.425	781617.831	745177.416	307831.24	789321.282	437346.176	0	0	0	0	0	3
18	2	0	0.45	782314.921	747240.611	307831.24	789321.282	439409.37	0	0	0	0	0	3
19	2	0	0.475	782913.306	749118.121	307831.24	789321.282	441286.881	0	0	0	0	0	3
20	2	0	0.5	783230.373	750823.733	307831.24	789321.282	442992.493	0	0	0	0	0	3
21	2	0	0.525	783458.587	774605.101	716113.706	789321.282	73207.5763	0	0	0	0	0	3
22	2	0	0.55	783810.478	777989.939	718600.011	789321.282	70721.2707	0	0	0	0	0	3
23	2	0	0.575	783998.182	781259.848	777252.767	789321.282	12068.5148	0	0	0	0	0	3
24	2	0	0.6	784038.038	781275.842	777252.767	789321.282	12068.5148	0	0	0	0	0	3
25	2	0	0.625	784017.139	781010.635	777252.767	784038.038	6785.27071	0	0	0	0	0	3
26	2	0	0.65	783906.713	781078.136	777252.767	784038.038	6785.27071	0	0	0	0	0	3
27	2	0	0.675	783755.738	781387.705	777252.767	784038.038	6785.27071	0	0	0	0	0	3
28	2	0	0.7	783657.56	781707.944	777668.445	784038.038	6369.59252	0	0	0	0	0	3
29	2	0	0.725	783589.931	782004.019	777864.587	784038.038	6173.45084	0	0	0	0	0	3
30	2	0	0.75	783551.766	782272.783	777864.587	784038.038	6173.45084	0	0	0	0	0	3
31	2	0	0.775	783513.871	782555.248	778703.492	784038.038	5334.54582	0	0	0	0	0	3
32	3	0	0.8	783569.734	782798.56	779485.4	784038.038	4552.63792	0	0	0	0	0	3
33	3	0	0.825	783672.815	783007.93	780073.274	784038.038	3964.76423	0	0	0	0	0	3
34	3	0	0.85	783758.478	783192.191	780666.349	784038.038	3371.68864	0	0	0	0	0	3
35	3	0	0.875	783825.092	783350.128	780802.003	784038.038	3236.03525	0	0	0	0	0	3
36	3	0	0.9	783866.309	783503.343	781617.831	784038.038	2420.20701	0	0	0	0	0	3
37	3	0	0.925	783947.452	783619.824	782314.921	784038.038	1723.11659	0	0	0	0	0	3
38	3	0	0.95	784003.947	783704.275	782913.306	784038.038	1124.7314	0	0	0	0	0	3
39	3	0	0.975	784055.663	783761.393	783230.373	784055.663	825.289708	0	0	0	0	0	3
40	3	0	1	784096.372	783804.693	783458.587	784096.372	637.785655	10608.1906	100	0	0	0	3
41	3	0	1.025	784123.865	783837.957	783513.871	784123.865	609.993487	10608.1906	100	0	0	0	3
42	3	0	1.05	784155.624	783855.214	783513.871	784155.624	641.752287	10608.1906	100	0	0	0	3
43	3	0	1.075	784175.89	783864.1	783513.871	784175.89	662.018694	10608.1906	100	0	0	0	3
44	3	0	1.1	784186.465	783879.451	783513.871	784186.465	672.593169	10608.1906	100	0	0	0	3
45	3	0	1.125	784192.486	783886.805	783513.871	784192.486	678.614766	10608.1906	100	0	0	0	3
46	3	0	1.15	784195.647	783895.306	783513.871	784195.647	681.775999	10608.1906	100	0	0	0	3
47	3	0	1.175	784197.095	783909.133	783513.871	784197.095	683.223579	10608.1906	100	0	0	0	3
48	3	0	1.2	784197.819	783930.185	783513.871	784197.819	683.947541	10608.1906	100	0	0	0	3
49	3	0	1.225	784198.06	783955.923	783513.871	784198.06	684.188537	10608.1906	100	0	0	0	3
50	3	0	1.25	784197.846	783984.871	783513.871	784198.06	684.188537	10608.1906	100	0	0	0	3
51	3	0	1.275	784197.881	784015.639	783513.871	784198.06	684.188537	10608.1906	100	0	0	0	3
52	4	0	1.3	784198.001	784048.216	783569.734	784198.06	628.325622	10608.1906	100	0	0	0	3
53	4	0	1.325	784197.727	784078.121	783672.815	784198.06	525.244998	10608.1906	100	0	0	0	3
54	4	0	1.35	784197.891	784103.124	783758.478	784198.06	439.581733	10608.1906	100	0	0	0	3
55	4	0	1.375	784197.961	784124.052	783825.092	784198.06	372.968043	10608.1906	100	0	0	0	3
56	4	0	1.4	784197.857	784141.803	783866.309	784198.06	331.75105	10608.1906	100	0	0	0	3
57	4	0	1.425	784197.904	784157.593	783947.452	784198.06	250.608241	10608.1906	100	0	0	0	3
58	4	0	1.45	784198.055	784169.526	784003.947	784198.06	194.1132	10608.1906	100	0	0	0	3
59	4	0	1.475	784198.102	784178.772	784055.663	784198.102	142.439339	10608.1906	100	0	0	0	3
60	4	0	1.5	784198.231	784185.561	784096.372	784198.231	101.858423	10608.1906	100	0	0	0	3
