Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	101401.996	101401.996	101401.996	101401.996	0	0	0	161.256	0	0	3
2	1	0	0.05	101384.144	101393.07	101384.144	101401.996	8.92609922	0	0	118.748	0	0	3
3	1	0	0.075	101382.273	101389.471	101382.273	101401.996	12.5249233	0	0	114.6	0	0	3
4	1	0	0.1	101382.04	101387.613	101382.04	101401.996	14.3827428	0	0	125.336	0	0	3
5	1	0	0.125	101382.442	101386.579	101382.04	101401.996	15.4169928	0	0	129.604	0	0	3
6	1	0	0.15	101382.186	101385.847	101382.04	101401.996	16.1490989	0	0	134.979	0	0	3
7	1	0	0.175	101381.947	101385.29	101381.947	101401.996	16.7062768	0	0	141.821	0	0	3
8	1	0	0.2	101381.858	101384.861	101381.858	101401.996	17.1352021	0	0	145.663	0	0	3
9	1	0	0.225	101381.908	101384.533	101381.858	101401.996	17.4632348	0	0	148.785	0	0	3
10	1	0	0.25	101382.054	101384.285	101381.858	101401.996	17.7111254	0	0	151.781	0	0	3
11	1	0	0.275	101382.364	101384.11	101381.858	101401.996	17.8857201	0	0	155.27	0	0	3
12	1	0	0.3	101383.016	101384.019	101381.858	101401.996	17.9769304	0	0	159.772	0	0	3
13	1	0	0.325	101383.83	101384.004	101381.858	101401.996	17.9914713	0	0	164.394	0	0	3
14	1	0	0.35	101384.845	101384.065	101381.858	101401.996	17.9914713	0	0	168.795	0	0	3
15	2	0	0.375	101386.269	101384.212	101381.858	101401.996	17.9914713	0	0	173.574	0	0	3
16	2	0	0.4	101388.342	101384.47	101381.858	101401.996	17.9914713	0	0	179.026	0	0	3
17	2	0	0.425	101391.585	101384.888	101381.858	101401.996	17.9914713	0	0	186.141	0	0	3
18	2	0	0.45	101395.217	101385.462	101381.858	101401.996	17.9914713	0	0	193.479	0	0	3
19	2	0	0.475	101399.042	101386.177	101381.858	101401.996	17.9914713	0	0	200.574	0	0	3
20	2	0	0.5	101402.892	101387.012	101381.858	101402.892	17.9914713	0	0	207.345	0	0	3
21	2	0	0.525	101406.979	101387.262	101381.858	101406.979	9.06537207	0	0	214.123	0	0	3
22	2	0	0.55	101411.23	101388.616	101381.858	101411.23	5.46654798	0	0	220.955	0	0	3
23	2	0	0.575	101415.333	101390.269	101381.858	101415.333	6.26445827	0	0	227.512	0	0	3
24	2	0	0.6	101418.675	101392.101	101381.858	101418.675	8.09621285	0	0	232.952	0	0	3
25	2	0	0.625	101421.252	101394.041	101381.858	101421.252	10.036701	0	0	237.337	0	0	3
26	2	0	0.65	101423.471	101396.105	101381.858	101423.471	12.1009172	0	0	241.21	0	0	3
27	2	0	0.675	101425.57	101398.287	101381.858	101425.57	14.2821054	0	0	245.117	0	0	3
28	2	0	0.7	101427.377	101400.563	101381.908	101427.377	16.5580539	0	0	248.604	0	0	3
29	2	0	0.725	101428.948	101402.915	101382.054	101428.948	18.9100142	0	0	251.778	0	0	3
30	2	0	0.75	101430.377	101405.331	101382.364	101430.377	21.3261967	0	0	254.637	0	0	3
31	2	0	0.775	101432.275	101407.826	101383.016	101432.275	23.8217283	0	0	257.951	0	0	3
32	3	0	0.8	101434.476	101410.399	101383.83	101434.476	26.3947644	0	0	261.66	0	0	3
33	3	0	0.825	101436.731	101413.044	101384.845	101436.731	28.9797858	0	0	265.423	0	0	3
34	3	0	0.85	101438.946	101415.749	101386.269	101438.946	31.5378525	0	0	269.032	0	0	3
35	3	0	0.875	101441.085	101418.49	101388.342	101441.085	34.0205098	0	0	272.459	0	0	3
36	3	0	0.9	101443.322	101421.239	101391.585	101443.322	36.3509904	0	0	275.728	0	0	3
37	3	0	0.925	101445.909	101423.955	101395.217	101445.909	38.4933379	0	0	279.385	0	0	3
38	3	0	0.95	101448.567	101426.623	101399.042	101448.567	40.446112	0	0	283.046	0	0	3
39	3	0	0.975	101451.097	101429.226	101402.892	101451.097	42.2130961	0	0	286.467	0	0	3
40	3	0	1	101453.391	101431.751	101406.979	101453.391	44.48888	10.7299287	24.1	289.517	0	0	3
41	3	0	1.025	101455.086	101434.156	101411.23	101455.086	43.8558706	10.9842041	25	291.713	0	0	3
42	3	0	1.05	101456.744	101436.432	101415.333	101456.744	41.411269	11.1085244	26.8	293.815	0	0	3
43	3	0	1.075	101458.221	101438.576	101418.675	101458.221	39.5466387	11.2238434	28.3	295.672	0	0	3
44	3	0	1.1	101459.503	101439.573	101418.675	101459.503	40.8277455	11.3295444	27.7	297.256	0	0	3
45	3	0	1.125	101460.552	101441.567	101421.252	101460.552	39.3004416	11.4244522	29	298.559	0	0	3
46	3	0	1.15	101461.383	101443.478	101423.471	101461.383	37.9125602	11.5085002	30.3	299.595	0	0	3
47	3	0	1.175	101462.024	101445.314	101425.57	101462.024	36.4534469	11.5822619	31.7	300.405	0	0	3
48	3	0	1.2	101462.506	101447.072	101427.377	101462.506	35.1282816	11.6466151	33.1	301.016	0	0	3
49	3	0	1.225	101462.849	101448.761	101428.948	101462.849	33.9008787	11.7015482	34.5	301.46	0	0	3
