Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	293.280963	293.280963	293.280963	293.280963	0	0	0	796.8	0	0	3
2	1	0	0.05	293.454729	293.367846	293.280963	293.454729	0.0868833096	0	0	796.8	0	0	3
3	1	0	0.075	293.633935	293.456542	293.280963	293.633935	0.17557981	0	0	796.8	0	0	3
4	1	0	0.1	293.815841	293.546367	293.280963	293.815841	0.265404569	0	0	796.8	0	0	3
5	1	0	0.125	294.009831	293.63906	293.280963	294.009831	0.358097259	0	0	796.8	0	0	3
6	1	0	0.15	294.352026	293.757888	293.280963	294.352026	0.476924938	0	0	796.8	0	0	3
7	2	0	0.175	294.768871	293.902314	293.280963	294.768871	0.621351212	0	0	796.8	0	0	3
8	2	0	0.2	295.208045	294.06553	293.280963	295.208045	0.784567614	0	0	796.8	0	0	3
9	2	0	0.225	295.647767	294.241334	293.280963	295.647767	0.960371754	0	0	796.801	0	0	3
10	2	0	0.25	296.084513	294.425652	293.280963	296.084513	1.14468962	0	0	796.801	0	0	3
11	2	0	0.275	296.731268	294.635254	293.280963	296.731268	1.35429108	0	0	796.802	0	0	3
12	2	0	0.3	297.37067	294.863205	293.280963	297.37067	1.58224242	0	0	796.802	0	0	3
13	3	0	0.325	298.004274	295.104826	293.280963	298.004274	1.82386313	0	0	796.803	0	0	3
14	3	0	0.35	298.630504	295.35666	293.280963	298.630504	2.07569731	0	0	796.803	0	0	3
15	3	0	0.375	299.249457	295.61618	293.280963	299.249457	2.33521711	0	0	796.804	0	0	3
16	3	0	0.4	300.158799	295.900093	293.280963	300.158799	2.61913081	0	0	796.805	0	0	3
17	3	0	0.425	301.051848	296.203138	293.280963	301.051848	2.92217517	0	0	796.805	0	0	3
18	3	0	0.45	301.927282	296.521146	293.280963	301.927282	3.24018319	0	0	796.806	0	0	3
19	4	0	0.475	302.786002	296.850875	293.280963	302.786002	3.56991248	0	0	796.806	0	0	3
20	4	0	0.5	303.627193	297.189691	293.280963	303.627193	3.90872838	0	0	796.805	0	0	3
21	4	0	0.525	304.852123	297.768249	293.454729	304.852123	4.40040311	0	0	796.805	0	0	3
22	4	0	0.55	306.038705	298.397448	293.633935	306.038705	4.94090541	0	0	796.803	0	0	3
23	4	0	0.575	307.185649	299.075033	293.815841	307.185649	5.52866634	0	0	796.8	0	0	3
24	4	0	0.6	308.292966	299.79889	294.009831	308.292966	6.15982987	0	0	796.8	0	0	3
25	5	0	0.625	309.36107	300.566452	294.352026	309.36107	6.80856415	0	0	796.8	0	0	3
26	5	0	0.65	310.875368	301.392619	294.768871	310.875368	7.49030499	0	0	796.8	0	0	3
27	5	0	0.675	312.296145	302.268982	295.208045	312.296145	8.20345228	0	0	796.8	0	0	3
28	5	0	0.7	313.619814	303.189571	295.647767	313.619814	8.94823661	0	0	796.8	0	0	3
29	5	0	0.725	314.841042	304.149235	296.084513	314.841042	9.72358247	0	0	796.8	0	0	3
30	6	0	0.75	315.95606	305.142812	296.731268	315.95606	10.5075584	0	0	796.8	0	0	3
31	6	0	0.775	317.38829	306.175663	297.37067	317.38829	11.3124581	0	0	796.8	0	0	3
32	6	0	0.8	318.578839	307.236072	298.004274	318.578839	12.1312459	0	0	796.8	0	0	3
33	6	0	0.825	319.539652	308.31284	298.630504	319.539652	12.9561806	0	0	796.8	0	0	3
34	6	0	0.85	320.29176	309.395903	299.249457	320.29176	13.7797235	0	0	796.8	0	0	3
35	6	0	0.875	320.863099	310.476585	300.158799	320.863099	14.5764919	0	0	796.8	0	0	3
36	6	0	0.9	321.416679	311.539479	301.051848	321.416679	15.3363416	0	0	796.8	0	0	3
37	7	0	0.925	321.763517	312.575063	301.927282	321.763517	16.053917	0	0	796.8	0	0	3
38	7	0	0.95	321.976069	313.577502	302.786002	321.976069	16.7266271	0	0	796.8	0	0	3
39	7	0	0.975	322.103202	314.543362	303.627193	322.103202	17.3536712	0	0	796.8	0	0	3
40	7	0	1	322.176795	315.470842	304.852123	322.176795	17.3246711	4.28142888	24.7	796.8	0	0	3
41	7	0	1.025	322.219904	316.339231	306.038705	322.219904	16.1811989	4.28789531	26.4	796.8	0	0	3
42	7	0	1.05	322.239505	317.149271	307.185649	322.239505	15.0538555	4.28936535	28.4	796.8	0	0	3
43	8	0	1.075	322.256983	317.902838	308.292966	322.256983	13.9640169	4.28163397	30.6	796.8	0	0	3
44	8	0	1.1	322.282229	318.11138	308.292966	322.282229	13.9892628	4.28142888	30.6	796.8	0	0	3
45	8	0	1.125	322.315268	318.779109	309.36107	322.315268	12.9541981	4.28142888	33	796.8	0	0	3
46	8	0	1.15	322.356052	319.397918	310.875368	322.356052	11.4806841	4.28142888	37.2	796.8	0	0	3
47	8	0	1.175	322.400123	319.946715	312.296145	322.400123	10.1039772	4.28142888	42.3	796.8	0	0	3
48	8	0	1.2	322.445536	320.43002	313.619814	322.445536	8.82572206	4.28142888	48.5	796.8	0	0	3
49	9	0	1.225	322.489391	320.852381	314.841042	322.489391	7.64834922	4.28142888	55.9	796.8	0	0	3
50	9	0	1.25	322.529095	321.218478	315.95606	322.529095	6.57303456	4.28142888	65.1	796.8	0	0	3
51	9	0	1.275	322.564066	321.533145	317.38829	322.564066	5.17577569	4.28142888	82.7	796.8	0	0	3
52	9	0	1.3	322.59392	321.781032	318.578839	322.59392	4.01508159	4.28142888	100	796.8	0	0	3
