Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0	0.025	0.000249180272	0.000249180272	0.000249180272	0.000249180272	0	0	0	0	0	0	3
2	0	0	0.05	5.48341404e-006	0.000127331843	5.48341404e-006	0.000249180272	0.000121848429	0	0	0	0	0	3
3	1	0	0.075	-5.86435225e-006	8.29331111e-005	-5.86435225e-006	0.000249180272	0.00016624716	0	0	0	0	0	3
4	1	0	0.1	1.51000372e-006	6.25773343e-005	-5.86435225e-006	0.000249180272	0.000186602937	0	0	0	0	0	3
5	1	0	0.125	-4.94306596e-007	4.99630061e-005	-5.86435225e-006	0.000249180272	0.000199217265	0	0	0	0	0	3
6	1	0	0.15	2.19769599e-007	4.16724667e-005	-5.86435225e-006	0.000249180272	0.000207507805	0	0	0	0	0	3
7	1	0	0.175	-1.18731256e-006	3.55496411e-005	-5.86435225e-006	0.000249180272	0.000213630631	0	0	0	0	0	3
8	1	0	0.2	-2.15359303e-007	3.1079016e-005	-5.86435225e-006	0.000249180272	0.000218101256	0	0	0	0	0	3
9	1	0	0.225	8.85535645e-007	2.77241849e-005	-5.86435225e-006	0.000249180272	0.000221456087	0	0	0	0	0	3
10	2	0	0.25	-2.2935083e-007	2.49288313e-005	-5.86435225e-006	0.000249180272	0.00022425144	0	0	0	0	0	3
11	2	0	0.275	-3.97410776e-006	2.23012914e-005	-5.86435225e-006	0.000249180272	0.00022687898	0	0	0	0	0	3
12	2	0	0.3	6.03202107e-006	2.09455189e-005	-5.86435225e-006	0.000249180272	0.000228234753	0	0	0	0	0	3
13	2	0	0.325	-4.43282173e-006	1.89933388e-005	-5.86435225e-006	0.000249180272	0.000230186933	0	0	0	0	0	3
14	2	0	0.35	-6.9660552e-008	1.7631696e-005	-5.86435225e-006	0.000249180272	0.000231548576	0	0	0	0	0	3
15	2	0	0.375	-6.78569299e-006	1.60038701e-005	-6.78569299e-006	0.000249180272	0.000233176402	0	0	0	0	0	3
16	3	0	0.4	2.59528097e-006	1.51658333e-005	-6.78569299e-006	0.000249180272	0.000234014438	0	0	0	0	0	3
17	3	0	0.425	-3.69011644e-006	1.40566597e-005	-6.78569299e-006	0.000249180272	0.000235123612	0	0	0	0	0	3
18	3	0	0.45	2.61777003e-006	1.34211659e-005	-6.78569299e-006	0.000249180272	0.000235759106	0	0	0	0	0	3
19	3	0	0.475	-1.32540967e-006	1.26450303e-005	-6.78569299e-006	0.000249180272	0.000236535241	0	0	0	0	0	3
20	3	0	0.5	2.20538319e-006	1.2123048e-005	-6.78569299e-006	0.000249180272	0.000237057224	0	0	0	0	0	3
21	4	0	0.525	-3.39647915e-007	-3.52948016e-007	-6.78569299e-006	6.03202107e-006	1.28177141e-005	0	0	0	0	0	3
22	4	0	0.55	2.04919184e-006	-5.24659126e-007	-6.78569299e-006	6.03202107e-006	1.28177141e-005	0	0	0	0	0	3
23	4	0	0.575	-1.32587443e-006	-2.97735235e-007	-6.78569299e-006	6.03202107e-006	1.28177141e-005	0	0	0	0	0	3
24	4	0	0.6	-4.17303724e-006	-5.81887283e-007	-6.78569299e-006	6.03202107e-006	1.28177141e-005	0	0	0	0	0	3
25	4	0	0.625	-4.12507703e-006	-7.63425804e-007	-6.78569299e-006	6.03202107e-006	1.28177141e-005	0	0	0	0	0	3
26	4	0	0.65	-1.59989254e-007	-7.82413747e-007	-6.78569299e-006	6.03202107e-006	1.28177141e-005	0	0	0	0	0	3
27	4	0	0.675	-8.84233673e-006	-1.16516496e-006	-8.84233673e-006	6.03202107e-006	1.48743578e-005	0	0	0	0	0	3
28	5	0	0.7	-1.37231924e-006	-1.22301295e-006	-8.84233673e-006	6.03202107e-006	1.48743578e-005	0	0	0	0	0	3
29	5	0	0.725	-2.18248416e-005	-2.35853182e-006	-2.18248416e-005	6.03202107e-006	2.72873631e-005	0	0	0	0	0	3
30	5	0	0.75	-1.53609176e-005	-3.11511015e-006	-2.18248416e-005	6.03202107e-006	2.54164015e-005	0	0	0	0	0	3
31	5	0	0.775	-4.76870817e-006	-3.15484017e-006	-2.18248416e-005	6.03202107e-006	2.4100359e-005	0	0	0	0	0	3
32	5	0	0.8	-8.56123096e-006	-3.88450278e-006	-2.18248416e-005	2.61777003e-006	2.28778416e-005	0	0	0	0	0	3
33	5	0	0.825	-6.0190791e-006	-3.96381564e-006	-2.18248416e-005	2.61777003e-006	2.15955117e-005	0	0	0	0	0	3
34	6	0	0.85	2.21212596e-006	-3.84972632e-006	-2.18248416e-005	2.61777003e-006	1.99676857e-005	0	0	0	0	0	3
35	6	0	0.875	2.60113819e-006	-3.38038476e-006	-2.18248416e-005	2.61777003e-006	1.91296489e-005	0	0	0	0	0	3
36	6	0	0.9	1.34215973e-005	-2.83906895e-006	-2.18248416e-005	1.34215973e-005	1.80204754e-005	0	0	0	0	0	3
37	6	0	0.925	1.77996389e-005	-1.76458118e-006	-2.18248416e-005	1.77996389e-005	1.73849815e-005	0	0	0	0	0	3
38	6	0	0.95	2.5051828e-005	-6.42878278e-007	-2.18248416e-005	2.5051828e-005	1.6608846e-005	0	0	0	0	0	3
39	6	0	0.975	1.6463e-005	2.46542206e-007	-2.18248416e-005	2.5051828e-005	1.60868636e-005	0	0	0	0	0	3
40	7	0	1	1.60929902e-005	9.40922554e-007	-2.18248416e-005	2.5051828e-005	4.9047382e-006	0.265546199	100	0	0	0	3
41	7	0	1.025	1.55752308e-005	1.73666649e-006	-2.18248416e-005	2.5051828e-005	5.70048213e-006	0.265546199	100	0	0	0	3
42	7	0	1.05	1.47207417e-005	2.37024398e-006	-2.18248416e-005	2.5051828e-005	6.33405962e-006	0.265546199	100	0	0	0	3
43	7	0	1.075	1.04091638e-005	2.95699589e-006	-2.18248416e-005	2.5051828e-005	6.92081153e-006	0.265546199	100	0	0	0	3
44	7	0	1.1	1.20672186e-005	3.39081602e-006	-2.18248416e-005	2.5051828e-005	7.35463166e-006	0.265546199	100	0	0	0	3
45	7	0	1.125	5.67671948e-006	3.85985205e-006	-2.18248416e-005	2.5051828e-005	7.8236677e-006	0.265546199	100	0	0	0	3
46	8	0	1.15	8.06276379e-009	4.05666823e-006	-2.18248416e-005	2.5051828e-005	8.02048388e-006	0.265546199	100	0	0	0	3
47	8	0	1.175	-4.20158922e-006	3.86421109e-006	-2.18248416e-005	2.5051828e-005	8.02048388e-006	0.265546199	100	0	0	0	3
48	8	0	1.2	-6.78429394e-006	3.96221313e-006	-2.18248416e-005	2.5051828e-005	8.02048388e-006	0.265546199	100	0	0	0	3
49	8	0	1.225	-8.37821006e-006	3.62859928e-006	-2.18248416e-005	2.5051828e-005	8.02048388e-006	0.265546199	100	0	0	0	3
50	8	0	1.25	-7.36852142e-006	4.31699548e-006	-1.53609176e-005	2.5051828e-005	8.28081113e-006	0.265546199	100	0	0	0	3
51	8	0	1.275	-1.5737363e-005	4.29906951e-006	-1.5737363e-005	2.5051828e-005	8.28081113e-006	0.265546199	100	0	0	0	3
52	9	0	1.3	-1.84555177e-005	3.64731667e-006	-1.84555177e-005	2.5051828e-005	8.28081113e-006	0.265546199	100	0	0	0	3
53	9	0	1.325	-1.7976938e-005	3.19894967e-006	-1.84555177e-005	2.5051828e-005	8.28081113e-006	0.265546199	100	0	0	0	3
54	9	0	1.35	-8.89788149e-006	3.06186384e-006	-1.84555177e-005	2.5051828e-005	8.1667218e-006	0.265546199	100	0	0	0	3
55	9	0	1.375	-7.57738659e-006	2.59569658e-006	-1.84555177e-005	2.5051828e-005	7.69738024e-006	0.265546199	100	0	0	0	3
56	9	0	1.4	-1.39564455e-005	1.80724022e-006	-1.84555177e-005	2.5051828e-005	7.15606443e-006	0.265546199	100	0	0	0	3
57	10	0	1.425	-5.60198779e-006	9.01355212e-007	-1.84555177e-005	2.5051828e-005	6.08157666e-006	0.265546199	100	0	0	0	3
58	10	0	1.45	-7.4672516e-006	-3.0183005e-007	-1.84555177e-005	2.5051828e-005	4.95987376e-006	0.265546199	100	0	0	0	3
