Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	101441.593	101441.593	101441.593	101441.593	0	0	0	4042.44	0	0	3
2	1	0	0.05	101318.639	101380.116	101318.639	101441.593	61.4772975	0	0	1534.41	0	0	3
3	1	0	0.075	101331.325	101363.853	101318.639	101441.593	77.7408805	0	0	1621.59	0	0	3
4	1	0	0.1	101325.65	101354.302	101318.639	101441.593	87.2915519	0	0	1537.57	0	0	3
5	1	0	0.125	101330.962	101349.634	101318.639	101441.593	91.9595694	0	0	1597.38	0	0	3
6	2	0	0.15	101329.127	101346.216	101318.639	101441.593	95.3773877	0	0	1655.51	0	0	3
7	2	0	0.175	101331.237	101344.076	101318.639	101441.593	97.51729	0	0	1675.8	0	0	3
8	2	0	0.2	101330.526	101342.382	101318.639	101441.593	99.2110494	0	0	1689.72	0	0	3
9	2	0	0.225	101330.915	101341.108	101318.639	101441.593	100.485262	0	0	1703.92	0	0	3
10	2	0	0.25	101330.285	101340.026	101318.639	101441.593	101.56759	0	0	1629.81	0	0	3
11	2	0	0.275	101330.883	101339.195	101318.639	101441.593	102.39874	0	0	1639.25	0	0	3
12	2	0	0.3	101330.734	101338.49	101318.639	101441.593	103.103842	0	0	1575.44	0	0	3
13	2	0	0.325	101330.906	101337.906	101318.639	101441.593	103.687176	0	0	1576.47	0	0	3
14	3	0	0.35	101330.911	101337.407	101318.639	101441.593	104.186839	0	0	1519.33	0	0	3
15	3	0	0.375	101330.362	101336.937	101318.639	101441.593	104.656459	0	0	1519.9	0	0	3
16	3	0	0.4	101330.988	101336.565	101318.639	101441.593	105.02829	0	0	1490.43	0	0	3
17	3	0	0.425	101330.98	101336.237	101318.639	101441.593	105.356817	0	0	1543.02	0	0	3
18	3	0	0.45	101330.095	101335.895	101318.639	101441.593	105.697997	0	0	1485.84	0	0	3
19	3	0	0.475	101330.79	101335.627	101318.639	101441.593	105.966692	0	0	1481.84	0	0	3
20	3	0	0.5	101330.507	101335.371	101318.639	101441.593	106.222683	0	0	1396.37	0	0	3
21	3	0	0.525	101331.065	101329.844	101318.639	101331.325	12.6865483	0	0	1359.7	0	0	3
22	3	0	0.55	101331.255	101330.475	101325.65	101331.325	5.67551936	0	0	1323.79	0	0	3
23	4	0	0.575	101331.826	101330.5	101325.65	101331.826	6.17601427	0	0	1302.59	0	0	3
24	4	0	0.6	101331.673	101330.801	101329.127	101331.826	2.69892763	0	0	1276.06	0	0	3
25	4	0	0.625	101332.517	101330.879	101329.127	101332.517	3.39034874	0	0	1241.74	0	0	3
26	4	0	0.65	101332.675	101331.057	101330.095	101332.675	2.57917366	0	0	1232.71	0	0	3
27	4	0	0.675	101333.428	101331.166	101330.095	101333.428	3.33271881	0	0	1225.02	0	0	3
28	4	0	0.7	101333.832	101331.331	101330.095	101333.832	3.73640942	0	0	1212.88	0	0	3
29	4	0	0.725	101334.655	101331.518	101330.095	101334.655	4.5599997	0	0	1204.19	0	0	3
30	4	0	0.75	101334.842	101331.746	101330.095	101334.842	4.74672998	0	0	1197.02	0	0	3
31	5	0	0.775	101335.496	101331.977	101330.095	101335.496	5.40026955	0	0	1191.65	0	0	3
32	5	0	0.8	101335.783	101332.229	101330.095	101335.783	5.68781156	0	0	1181.22	0	0	3
33	5	0	0.825	101336.453	101332.507	101330.095	101336.453	6.35757	0	0	1172.39	0	0	3
34	5	0	0.85	101336.733	101332.798	101330.095	101336.733	6.63738231	0	0	1166.47	0	0	3
35	5	0	0.875	101337.209	101333.14	101330.095	101337.209	6.72082024	0	0	1159.38	0	0	3
36	5	0	0.9	101337.456	101333.464	101330.095	101337.456	6.39229371	0	0	1154.81	0	0	3
37	5	0	0.925	101337.799	101333.805	101330.095	101337.799	6.05111366	0	0	1149.16	0	0	3
38	5	0	0.95	101338.059	101334.203	101330.507	101338.059	5.78241854	0	0	1148.44	0	0	3
39	5	0	0.975	101338.446	101334.585	101330.507	101338.446	5.52642762	0	0	1144.98	0	0	3
40	6	0	1	101338.547	101334.988	101331.065	101338.547	5.14311937	1.93458133	37.6	1142	0	0	3
41	6	0	1.025	101338.776	101335.373	101331.255	101338.776	4.89783636	1.96888924	40.1	1136.75	0	0	3
42	6	0	1.05	101338.792	101335.75	101331.673	101338.792	5.24965895	1.97013153	37.5	1129.8	0	0	3
43	6	0	1.075	101338.939	101336.106	101331.673	101338.939	5.30415511	1.97788866	37.2	1115.39	0	0	3
44	6	0	1.1	101339.115	101336.249	101331.673	101339.115	5.44743981	1.93458133	35.5	1102.52	0	0	3
45	6	0	1.125	101339.397	101336.617	101332.517	101339.397	5.73744418	1.93458133	33.7	1095.37	0	0	3
46	6	0	1.15	101339.599	101336.954	101332.675	101339.599	5.89726932	1.93458133	32.8	1091.26	0	0	3
47	7	0	1.175	101339.921	101337.299	101333.428	101339.921	6.1327452	1.93458133	31.5	1085.87	0	0	3
48	7	0	1.2	101340.049	101337.614	101333.832	101340.049	6.21713294	1.93458133	31.1	1083.18	0	0	3
49	7	0	1.225	101340.34	101337.924	101334.655	101340.34	5.68469699	1.93458133	34	1079.21	0	0	3
50	7	0	1.25	101340.463	101338.201	101334.842	101340.463	5.62069662	1.93458133	34.4	1075.23	0	0	3
51	7	0	1.275	101340.73	101338.481	101335.496	101340.73	5.23406788	1.93458133	36.9	1074.57	0	0	3
52	7	0	1.3	101340.802	101338.734	101335.783	101340.802	5.01898868	1.93458133	38.5	1070.36	0	0	3
53	7	0	1.325	101341.067	101338.985	101336.453	101341.067	4.613681	1.93458133	41.9	1068.86	0	0	3
54	7	0	1.35	101341.2	101339.211	101336.733	101341.2	4.46732221	1.93458133	43.3	1067.26	0	0	3
55	7	0	1.375	101341.547	101339.441	101337.209	101341.547	4.33775728	1.93458133	44.5	1068.42	0	0	3
56	8	0	1.4	101341.68	101339.653	101337.456	101341.68	4.2238005	1.93458133	45.8	1067.53	0	0	3
57	8	0	1.425	101342.011	101339.87	101337.799	101342.011	4.21201324	1.93458133	45.9	1066.64	0	0	3
58	8	0	1.45	101342.154	101340.078	101338.059	101342.154	4.09487971	1.93458133	47.2	1066.65	0	0	3
59	8	0	1.475	101342.426	101340.286	101338.446	101342.426	3.98018687	1.93458133	48.6	1064.79	0	0	3
60	8	0	1.5	101342.596	101340.483	101338.547	101342.596	4.04928738	1.93458133	47.7	1064.86	0	0	3
61	8	0	1.525	101342.706	101340.681	101338.776	101342.706	3.92984773	1.93458133	49.2	1063.22	0	0	3
62	8	0	1.55	101342.741	101340.87	101338.792	101342.741	3.9489915	1.93458133	48.9	1060.29	0	0	3
63	8	0	1.575	101342.831	101341.063	101338.939	101342.831	3.89166771	1.93458133	49.7	1058.91	0	0	3
64	9	0	1.6	101342.862	101341.249	101339.115	101342.862	3.74785131	1.93458133	51.6	1055.25	0	0	3
65	9	0	1.625	101342.94	101341.431	101339.397	101342.94	3.54313691	1.93458133	54.6	1053.71	0	0	3
66	9	0	1.65	101342.999	101341.603	101339.599	101342.999	3.40059007	1.93458133	56.8	1052.07	0	0	3
67	9	0	1.675	101343.034	101341.767	101339.921	101343.034	3.11381244	1.93458133	62.1	1047.72	0	0	3
68	9	0	1.7	101343.134	101341.92	101340.049	101343.134	3.08459902	1.93458133	62.7	1046.53	0	0	3
69	9	0	1.725	101343.116	101342.066	101340.34	101343.134	2.79344468	1.93458133	69.2	1044.09	0	0	3
70	9	0	1.75	101343.143	101342.199	101340.463	101343.143	2.67973444	1.93458133	72.1	1040.98	0	0	3
71	9	0	1.775	101343.156	101342.327	101340.73	101343.156	2.42631029	1.93458133	79.7	1034.33	0	0	3
