Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0	0.025	43.0522984	43.0522984	43.0522984	43.0522984	0	0	0	0	0	0	3
2	0	0	0.05	707.188059	375.120179	43.0522984	707.188059	332.06788	0	0	0	0	0	3
3	1	0	0.075	694.966774	481.73571	43.0522984	707.188059	438.683412	0	0	0	0	0	3
4	1	0	0.1	779.220675	556.106952	43.0522984	779.220675	513.054653	0	0	0	0	0	3
5	1	0	0.125	849.287859	614.743133	43.0522984	849.287859	571.690835	0	0	0	0	0	3
6	1	0	0.15	992.516235	677.705317	43.0522984	992.516235	634.653018	0	0	0	0	0	3
7	1	0	0.175	1120.57293	740.972119	43.0522984	1120.57293	697.91982	0	0	0	0	0	3
8	1	0	0.2	1317.62183	813.053333	43.0522984	1317.62183	770.001034	0	0	0	0	0	3
9	1	0	0.225	1516.44611	891.208085	43.0522984	1516.44611	848.155787	0	0	0	0	0	3
10	1	0	0.25	1730.73545	975.160821	43.0522984	1730.73545	932.108523	0	0	0	0	0	3
11	2	0	0.275	1913.23438	1060.44024	43.0522984	1913.23438	1017.38794	0	0	0	0	0	3
12	2	0	0.3	2029.52228	1141.19707	43.0522984	2029.52228	1098.14477	0	0	0	0	0	3
13	2	0	0.325	2077.86709	1213.24861	43.0522984	2077.86709	1170.19631	0	0	0	0	0	3
14	2	0	0.35	2081.06135	1275.23524	43.0522984	2081.06135	1232.18294	0	0	0	0	0	3
15	2	0	0.375	2071.05311	1328.28976	43.0522984	2081.06135	1285.23746	0	0	0	0	0	3
16	2	0	0.4	2070.02621	1374.64829	43.0522984	2081.06135	1331.59599	0	0	0	0	0	3
17	2	0	0.425	2061.08312	1415.02681	43.0522984	2081.06135	1371.97451	0	0	0	0	0	3
18	2	0	0.45	2056.70709	1450.67571	43.0522984	2081.06135	1407.62342	0	0	0	0	0	3
19	3	0	0.475	2051.73336	1482.31033	43.0522984	2081.06135	1439.25803	0	0	0	0	0	3
20	3	0	0.5	2043.96238	1510.39293	43.0522984	2081.06135	1467.34063	0	0	0	0	0	3
21	3	0	0.525	2033.4105	1609.91084	694.966774	2081.06135	1234.79066	0	0	0	0	0	3
22	3	0	0.55	2019.95368	1675.54912	694.966774	2081.06135	1193.81341	0	0	0	0	0	3
23	3	0	0.575	2007.92475	1741.19702	779.220675	2081.06135	1185.09007	0	0	0	0	0	3
24	3	0	0.6	1996.93809	1802.08289	849.287859	2081.06135	1187.33976	0	0	0	0	0	3
25	3	0	0.625	1995.14957	1859.37598	992.516235	2081.06135	1088.54512	0	0	0	0	0	3
26	3	0	0.65	1990.25194	1909.26276	1120.57293	2081.06135	960.488422	0	0	0	0	0	3
27	4	0	0.675	1977.987	1952.13346	1317.62183	2081.06135	763.439522	0	0	0	0	0	3
28	4	0	0.7	2019.65414	1987.23508	1516.44611	2081.06135	564.615244	0	0	0	0	0	3
29	4	0	0.725	2003.6456	2011.59505	1730.73545	2081.06135	350.325906	0	0	0	0	0	3
30	4	0	0.75	2001.39785	2025.12817	1913.23438	2081.06135	167.826975	0	0	0	0	0	3
31	4	0	0.775	1990.67626	2029.00027	1977.987	2081.06135	103.074348	0	0	0	0	0	3
32	4	0	0.8	1990.41697	2027.045	1977.987	2081.06135	103.074348	0	0	0	0	0	3
33	4	0	0.825	1991.67151	2022.73522	1977.987	2081.06135	103.074348	0	0	0	0	0	3
34	4	0	0.85	1978.48735	2017.60652	1977.987	2071.05311	93.0661082	0	0	0	0	0	3
35	4	0	0.875	1968.74057	2012.4909	1968.74057	2070.02621	101.285634	0	0	0	0	0	3
36	5	0	0.9	1967.31879	2007.35553	1967.31879	2061.08312	93.7643304	0	0	0	0	0	3
37	5	0	0.925	1973.12965	2002.95785	1967.31879	2056.70709	89.3882995	0	0	0	0	0	3
38	5	0	0.95	1964.97195	1998.3711	1964.97195	2051.73336	86.7614039	0	0	0	0	0	3
39	5	0	0.975	1970.12474	1994.29066	1964.97195	2043.96238	78.9904256	0	0	0	0	0	3
40	5	0	1	1969.7241	1990.57875	1964.97195	2033.4105	68.4385511	207.914187	100	0	0	0	3
41	5	0	1.025	1960.02522	1986.90949	1960.02522	2019.95368	59.928454	207.914187	100	0	0	0	3
42	5	0	1.05	1952.90075	1983.55684	1952.90075	2019.65414	66.7533906	207.914187	100	0	0	0	3
43	5	0	1.075	1955.5698	1980.93909	1952.90075	2019.65414	66.7533906	207.914187	100	0	0	0	3
44	6	0	1.1	1960.80811	1979.98048	1952.90075	2019.65414	66.7533906	207.914187	100	0	0	0	3
45	6	0	1.125	1967.19771	1978.56427	1952.90075	2019.65414	66.7533906	207.914187	100	0	0	0	3
46	6	0	1.15	1953.86962	1976.59855	1952.90075	2019.65414	66.7533906	207.914187	100	0	0	0	3
47	6	0	1.175	1954.19874	1974.88174	1952.90075	2019.65414	66.7533906	207.914187	100	0	0	0	3
48	6	0	1.2	1960.33457	1974.04114	1952.90075	2019.65414	54.9591255	207.914187	100	0	0	0	3
49	6	0	1.225	1965.43034	1971.45906	1952.90075	2003.6456	50.7448515	207.914187	100	0	0	0	3
50	6	0	1.25	1948.3326	1968.82511	1948.3326	2001.39785	53.0652502	207.914187	100	0	0	0	3
51	6	0	1.275	1935.02706	1965.66459	1935.02706	1991.67151	56.644453	207.914187	100	0	0	0	3
