Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	293.205442	293.205442	293.205442	293.205442	0	0	0	308.729	0	0	3
2	1	0	0.05	293.226801	293.216121	293.205442	293.226801	0.0106795009	0	0	308.448	0	0	3
3	1	0	0.075	293.244523	293.225588	293.205442	293.244523	0.0201467864	0	0	308.35	0	0	3
4	1	0	0.1	293.263597	293.23509	293.205442	293.263597	0.0296488547	0	0	308.184	0	0	3
5	1	0	0.125	293.285969	293.245266	293.205442	293.285969	0.0398246411	0	0	307.929	0	0	3
6	1	0	0.15	293.331647	293.259663	293.205442	293.331647	0.0542214929	0	0	307.739	0	0	3
7	2	0	0.175	293.393954	293.278847	293.205442	293.393954	0.0734058435	0	0	307.544	0	0	3
8	2	0	0.2	293.470119	293.302756	293.205442	293.470119	0.097314803	0	0	307.338	0	0	3
9	2	0	0.225	293.558061	293.331124	293.205442	293.558061	0.125682	0	0	307.161	0	0	3
10	2	0	0.25	293.657639	293.363775	293.205442	293.657639	0.158333561	0	0	307.05	0	0	3
11	2	0	0.275	293.822408	293.405469	293.205442	293.822408	0.200027476	0	0	307.025	0	0	3
12	2	0	0.3	293.99921	293.454948	293.205442	293.99921	0.249505921	0	0	307.034	0	0	3
13	2	0	0.325	294.183976	293.511027	293.205442	294.183976	0.30558502	0	0	307.04	0	0	3
14	2	0	0.35	294.373188	293.57261	293.205442	294.373188	0.36716796	0	0	307.042	0	0	3
15	3	0	0.375	294.562234	293.638585	293.205442	294.562234	0.433142908	0	0	307.044	0	0	3
16	3	0	0.4	294.833009	293.713236	293.205442	294.833009	0.507794447	0	0	307.041	0	0	3
17	3	0	0.425	295.089166	293.794173	293.205442	295.089166	0.588731503	0	0	307.042	0	0	3
18	3	0	0.45	295.325614	293.879253	293.205442	295.325614	0.673811548	0	0	307.048	0	0	3
19	3	0	0.475	295.539998	293.966661	293.205442	295.539998	0.761219149	0	0	307.056	0	0	3
