Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	298.577555	298.577555	298.577555	298.577555	0	0	0	308.483	0	0	3
2	1	0	0.05	308.544425	303.56099	298.577555	308.544425	4.9834348	0	0	308.169	0	0	3
3	1	0	0.075	323.225541	310.11584	298.577555	323.225541	11.5382851	0	0	307.591	0	0	3
4	1	0	0.1	342.537086	318.221152	298.577555	342.537086	19.6435967	0	0	305.448	0	0	3
5	1	0	0.125	366.26126	327.829173	298.577555	366.26126	29.2516183	0	0	299.953	0	0	3
6	1	0	0.15	394.031203	338.862845	298.577555	394.031203	40.2852899	0	0	289.574	0	0	3
7	2	0	0.175	425.267993	351.206437	298.577555	425.267993	52.6288824	0	0	273.507	0	0	3
8	2	0	0.2	459.007779	364.681605	298.577555	459.007779	66.1040501	0	0	251.86	0	0	3
9	2	0	0.225	493.580438	379.003698	298.577555	493.580438	80.4261427	0	0	225.131	0	0	3
10	2	0	0.25	526.199188	393.723247	298.577555	526.199188	95.1456917	0	0	194.053	0	0	3
11	2	0	0.275	555.045532	408.388909	298.577555	555.045532	109.811354	0	0	154.191	0	0	3
12	2	0	0.3	575.557473	422.319623	298.577555	575.557473	123.742068	0	0	113.904	0	0	3
13	2	0	0.325	588.112181	435.072896	298.577555	588.112181	136.495341	0	0	75.66	0	0	3
14	2	0	0.35	594.51326	446.461494	298.577555	594.51326	147.883939	0	0	43.1665	0	0	3
15	3	0	0.375	597.537777	456.533246	298.577555	597.537777	157.955691	0	0	20.8342	0	0	3
16	3	0	0.4	598.634374	465.414566	298.577555	598.634374	166.837011	0	0	11.141	0	0	3
17	3	0	0.425	598.787693	473.260045	298.577555	598.787693	174.682489	0	0	9.5967	0	0	3
18	3	0	0.45	598.793335	480.234116	298.577555	598.793335	181.656561	0	0	9.55965	0	0	3
19	3	0	0.475	598.794045	486.474112	298.577555	598.794045	187.896557	0	0	9.56035	0	0	3
20	3	0	0.5	598.795289	492.090171	298.577555	598.795289	193.512616	0	0	9.55988	0	0	3
21	3	0	0.525	598.796005	507.101094	308.544425	598.796005	203.540104	0	0	9.5621	0	0	3
22	3	0	0.55	598.794884	521.613617	323.225541	598.796005	211.497777	0	0	9.55563	0	0	3
