Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0	0.025	101342.168	101342.168	101342.168	101342.168	0	0	0	2148.64	0	0	3
2	0	0	0.05	101325.269	101333.718	101325.269	101342.168	8.44963765	0	0	2001.42	0	0	3
3	0	0	0.075	101325.751	101331.063	101325.269	101342.168	11.1053211	0	0	2042.37	0	0	3
4	0	0	0.1	101324.527	101329.429	101324.527	101342.168	12.739132	0	0	1896.86	0	0	3
5	0	0	0.125	101324.961	101328.535	101324.527	101342.168	13.6327897	0	0	1760.53	0	0	3
6	1	0	0.15	101324.616	101327.882	101324.527	101342.168	14.2860082	0	0	1675.86	0	0	3
7	1	0	0.175	101324.509	101327.4	101324.509	101342.168	14.7679283	0	0	1644.52	0	0	3
8	1	0	0.2	101324.435	101327.029	101324.435	101342.168	15.1385799	0	0	1615.87	0	0	3
9	1	0	0.225	101324.642	101326.764	101324.435	101342.168	15.4038106	0	0	1597.54	0	0	3
10	1	0	0.25	101324.765	101326.564	101324.435	101342.168	15.6037176	0	0	1591.66	0	0	3
11	1	0	0.275	101324.74	101326.398	101324.435	101342.168	15.7695364	0	0	1593.19	0	0	3
12	1	0	0.3	101324.601	101326.249	101324.435	101342.168	15.9192961	0	0	1593.43	0	0	3
13	1	0	0.325	101324.341	101326.102	101324.341	101342.168	16.0660399	0	0	1592.52	0	0	3
14	2	0	0.35	101324.317	101325.974	101324.317	101342.168	16.1935466	0	0	1586.27	0	0	3
15	2	0	0.375	101324.417	101325.871	101324.317	101342.168	16.2973674	0	0	1577.39	0	0	3
16	2	0	0.4	101324.301	101325.773	101324.301	101342.168	16.3954994	0	0	1571.77	0	0	3
17	2	0	0.425	101324.181	101325.679	101324.181	101342.168	16.4891485	0	0	1563.96	0	0	3
18	2	0	0.45	101324.066	101325.589	101324.066	101342.168	16.5787354	0	0	1553	0	0	3
19	2	0	0.475	101323.999	101325.506	101323.999	101342.168	16.6624156	0	0	1541.84	0	0	3
20	2	0	0.5	101324.179	101325.439	101323.999	101342.168	16.7287256	0	0	1531.76	0	0	3
21	2	0	0.525	101324.566	101324.559	101323.999	101325.751	1.75197128	0	0	1526.15	0	0	3
22	3	0	0.55	101325.002	101324.546	101323.999	101325.751	1.75197128	0	0	1522.28	0	0	3
23	3	0	0.575	101325.347	101324.526	101323.999	101325.347	1.34781912	0	0	1518.97	0	0	3
24	3	0	0.6	101325.732	101324.586	101323.999	101325.732	1.73295798	0	0	1510.97	0	0	3
25	3	0	0.625	101326.044	101324.64	101323.999	101326.044	2.04478989	0	0	1506.76	0	0	3
26	3	0	0.65	101326.304	101324.724	101323.999	101326.304	2.30415809	0	0	1501.95	0	0	3
27	3	0	0.675	101326.602	101324.829	101323.999	101326.602	2.50377491	0	0	1498.15	0	0	3
28	4	0	0.7	101326.82	101324.948	101323.999	101326.82	2.23854424	0	0	1473.42	0	0	3
29	4	0	0.725	101326.979	101325.065	101323.999	101326.979	2.03863723	0	0	1464.43	0	0	3
30	4	0	0.75	101327.187	101325.186	101323.999	101327.187	1.87281842	0	0	1473	0	0	3
31	4	0	0.775	101327.375	101325.318	101323.999	101327.375	1.72305871	0	0	1476.45	0	0	3
32	4	0	0.8	101327.589	101325.467	101323.999	101327.589	1.57631493	0	0	1464.17	0	0	3
33	4	0	0.825	101327.846	101325.643	101323.999	101327.846	1.44880818	0	0	1462.83	0	0	3
34	4	0	0.85	101328.067	101325.83	101323.999	101328.067	1.3449874	0	0	1471.03	0	0	3
35	4	0	0.875	101328.324	101326.025	101323.999	101328.324	1.49979951	0	0	1448.5	0	0	3
36	5	0	0.9	101328.552	101326.238	101323.999	101328.552	1.71236086	0	0	1459.92	0	0	3
37	5	0	0.925	101328.834	101326.471	101323.999	101328.834	1.94502635	0	0	1466.42	0	0	3
38	5	0	0.95	101329.07	101326.721	101323.999	101329.07	2.19519573	0	0	1472.82	0	0	3
39	5	0	0.975	101329.303	101326.986	101324.179	101329.303	2.46035523	0	0	1458.73	0	0	3
40	5	0	1	101329.481	101327.251	101324.566	101329.481	2.72543583	0.82224841	30.1	1468.82	0	0	3
41	5	0	1.025	101329.589	101327.502	101325.002	101329.589	2.97654505	0.838374556	28.1	1474.16	0	0	3
42	5	0	1.05	101329.695	101327.737	101325.347	101329.695	3.21119466	0.846359065	26.3	1477.97	0	0	3
43	6	0	1.075	101329.78	101327.959	101325.732	101329.78	3.37259474	0.853273573	25.3	1467.55	0	0	3
44	6	0	1.1	101329.847	101328.048	101325.732	101329.847	3.46250314	0.85922589	24.8	1473.78	0	0	3
45	6	0	1.125	101329.908	101328.247	101326.044	101329.908	3.60717191	0.864642631	23.9	1478.87	0	0	3
46	6	0	1.15	101329.975	101328.434	101326.304	101329.975	3.67110075	0.869916997	23.6	1482.33	0	0	3
47	6	0	1.175	101330.045	101328.613	101326.602	101330.045	3.44354569	0.875197834	25.4	1471.56	0	0	3
48	6	0	1.2	101330.122	101328.78	101326.82	101330.122	3.30212158	0.880598812	26.6	1477.53	0	0	3
49	6	0	1.225	101330.194	101328.941	101326.979	101330.194	3.21578127	0.886003619	27.5	1468.79	0	0	3
50	7	0	1.25	101330.265	101329.097	101327.187	101330.265	3.07792823	0.891386551	28.9	1476.81	0	0	3
51	7	0	1.275	101330.344	101329.248	101327.375	101330.344	2.96976286	0.896875265	30.2	1480.79	0	0	3
52	7	0	1.3	101330.425	101329.393	101327.589	101330.425	2.83604992	0.902455329	31.8	1484.41	0	0	3
53	7	0	1.325	101330.497	101329.532	101327.846	101330.497	2.65143514	0.908011802	34.2	1473.97	0	0	3
54	7	0	1.35	101330.562	101329.661	101328.067	101330.562	2.49457511	0.913464828	36.6	1479.92	0	0	3
55	7	0	1.375	101330.644	101329.784	101328.324	101330.644	2.32006307	0.91901392	39.6	1472.24	0	0	3
56	7	0	1.4	101330.776	101329.9	101328.552	101330.776	2.22413527	0.925105631	41.5	1481.3	0	0	3
57	7	0	1.425	101330.898	101330.012	101328.834	101330.898	2.06431771	0.931559009	45.1	1483.65	0	0	3
58	8	0	1.45	101330.989	101330.115	101329.07	101330.989	1.9194252	0.938053726	48.8	1487.19	0	0	3
59	8	0	1.475	101331.04	101330.209	101329.303	101331.04	1.73752318	0.944267055	54.3	1476.92	0	0	3
60	8	0	1.5	101331.071	101330.293	101329.481	101331.071	1.58950158	0.948737054	59.6	1484.83	0	0	3
61	8	0	1.525	101331.092	101330.369	101329.589	101331.092	1.50359	0.950171773	63.1	1487.66	0	0	3
62	8	0	1.55	101331.117	101330.442	101329.695	101331.117	1.4215216	0.948672015	66.7	1490.78	0	0	3
63	8	0	1.575	101331.165	101330.512	101329.78	101331.165	1.38490376	0.945367375	68.2	1479.73	0	0	3
