Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0	0.025	299.396843	299.396843	299.396843	299.396843	0	0	0	308.486	0	0	3
2	0	0	0.05	310.198674	304.797758	299.396843	310.198674	5.40091525	0	0	308.248	0	0	3
3	0	0	0.075	325.42641	311.673976	299.396843	325.42641	12.2771325	0	0	308.146	0	0	3
4	0	0	0.1	344.730287	319.938054	299.396843	344.730287	20.5412104	0	0	307.817	0	0	3
5	0	0	0.125	367.717004	329.493844	299.396843	367.717004	30.0970005	0	0	306.85	0	0	3
6	1	0	0.15	394.087658	340.259479	299.396843	394.087658	40.8626363	0	0	304.376	0	0	3
7	1	0	0.175	423.291114	352.121141	299.396843	423.291114	52.7242983	0	0	299.611	0	0	3
8	1	0	0.2	454.393388	364.905172	299.396843	454.393388	65.5083291	0	0	292.143	0	0	3
9	1	0	0.225	485.448736	378.298902	299.396843	485.448736	78.9020584	0	0	282.085	0	0	3
10	1	0	0.25	513.433163	391.812328	299.396843	513.433163	92.4154845	0	0	270.199	0	0	3
11	1	0	0.275	536.052733	404.925092	299.396843	536.052733	105.528249	0	0	252.934	0	0	3
12	1	0	0.3	548.429689	416.883808	299.396843	548.429689	117.486965	0	0	240.622	0	0	3
13	1	0	0.325	552.789071	427.338059	299.396843	552.789071	127.941216	0	0	235.277	0	0	3
14	2	0	0.35	553.496769	436.349396	299.396843	553.496769	136.952552	0	0	234.469	0	0	3
15	2	0	0.375	554.050904	444.196163	299.396843	554.050904	144.79932	0	0	233.652	0	0	3
16	2	0	0.4	554.552776	451.093451	299.396843	554.552776	151.696608	0	0	232.913	0	0	3
17	2	0	0.425	555.24112	457.219785	299.396843	555.24112	157.822941	0	0	232.338	0	0	3
18	2	0	0.45	555.903551	462.702216	299.396843	555.903551	163.305373	0	0	231.622	0	0	3
19	2	0	0.475	556.550955	467.641623	299.396843	556.550955	168.24478	0	0	231.026	0	0	3
20	2	0	0.5	557.197267	472.119406	299.396843	557.197267	172.722562	0	0	230.544	0	0	3
21	2	0	0.525	557.926754	485.045901	310.198674	557.926754	180.248143	0	0	230.176	0	0	3
22	3	0	0.55	558.911919	497.481563	325.42641	558.911919	185.807588	0	0	229.575	0	0	3
23	3	0	0.575	559.580055	509.189246	344.730287	559.580055	189.251192	0	0	229.225	0	0	3
24	3	0	0.6	559.946776	519.95007	367.717004	559.946776	190.456226	0	0	229.308	0	0	3
25	3	0	0.625	560.347499	529.581595	394.087658	560.347499	166.259841	0	0	229.214	0	0	3
26	3	0	0.65	560.625422	537.908483	423.291114	560.625422	137.334308	0	0	229.179	0	0	3
27	3	0	0.675	560.908637	544.789359	454.393388	560.908637	106.515249	0	0	229.092	0	0	3
28	4	0	0.7	561.37774	550.138577	485.448736	561.37774	75.9290043	0	0	228.886	0	0	3
29	4	0	0.725	561.578153	553.945048	513.433163	561.578153	48.1449901	0	0	228.817	0	0	3
30	4	0	0.75	561.89109	556.367944	536.052733	561.89109	25.8383573	0	0	228.776	0	0	3
31	4	0	0.775	562.049114	557.667763	548.429689	562.049114	13.6194248	0	0	228.781	0	0	3
32	4	0	0.8	562.213293	558.356943	552.789071	562.213293	9.4242225	0	0	228.786	0	0	3
33	4	0	0.825	562.361385	558.835559	553.496769	562.361385	8.86461625	0	0	228.718	0	0	3
34	4	0	0.85	562.487256	559.285083	554.050904	562.487256	8.43635211	0	0	228.673	0	0	3
35	4	0	0.875	562.601332	559.712605	554.552776	562.601332	8.04855593	0	0	228.625	0	0	3
36	5	0	0.9	562.720731	560.121003	555.24112	562.720731	7.47961049	0	0	228.626	0	0	3
37	5	0	0.925	562.738297	560.495861	555.903551	562.738297	6.83474579	0	0	228.636	0	0	3
38	5	0	0.95	562.879287	560.844648	556.550955	562.879287	6.32833279	0	0	228.609	0	0	3
39	5	0	0.975	562.845726	561.159387	557.197267	562.879287	5.68202066	0	0	228.602	0	0	3
40	5	0	1	562.886129	561.44383	557.926754	562.886129	4.95937479	35.6189578	100	228.521	0	0	3
41	5	0	1.025	562.929859	561.693985	558.911919	562.929859	4.01793976	35.6255173	100	228.482	0	0	3
42	5	0	1.05	563.029714	561.899875	559.580055	563.029714	3.44965914	35.6330064	100	228.434	0	0	3
43	6	0	1.075	563.030662	562.072405	559.946776	563.030662	3.08388547	35.6189578	100	228.452	0	0	3
44	6	0	1.1	563.034635	562.118226	559.946776	563.034635	3.0878583	35.6189578	100	228.453	0	0	3
45	6	0	1.125	562.984849	562.262896	560.347499	563.034635	2.68713549	35.6189578	100	228.509	0	0	3
46	6	0	1.15	562.957165	562.387166	560.625422	563.034635	2.40921274	35.6189578	100	228.503	0	0	3
47	6	0	1.175	562.846995	562.492955	560.908637	563.034635	2.12599792	35.6189578	100	228.513	0	0	3
48	6	0	1.2	562.970354	562.591132	561.37774	563.034635	1.6568943	35.6189578	100	228.468	0	0	3
49	6	0	1.225	562.894118	562.66334	561.578153	563.034635	1.45648167	35.6189578	100	228.491	0	0	3
50	7	0	1.25	562.954642	562.728887	561.89109	563.034635	1.14354445	35.6189578	100	228.41	0	0	3
51	7	0	1.275	562.899872	562.776925	562.049114	563.034635	0.985520318	35.6189578	100	228.432	0	0	3
52	7	0	1.3	563.042915	562.824248	562.213293	563.042915	0.829621405	35.6189578	100	228.416	0	0	3
53	7	0	1.325	562.97874	562.860698	562.361385	563.042915	0.681529257	35.6189578	100	228.47	0	0	3
54	7	0	1.35	563.036235	562.892834	562.487256	563.042915	0.555658845	35.6189578	100	228.435	0	0	3
55	7	0	1.375	563.005851	562.917529	562.601332	563.042915	0.441582679	35.6189578	100	228.406	0	0	3
56	7	0	1.4	563.081193	562.94038	562.720731	563.081193	0.360462403	35.6189578	100	228.434	0	0	3
57	7	0	1.425	563.094172	562.958162	562.738297	563.094172	0.35587522	35.6189578	100	228.365	0	0	3
58	8	0	1.45	563.194766	562.979899	562.845726	563.194766	0.349039994	35.6189578	100	228.336	0	0	3
59	8	0	1.475	563.126039	562.991649	562.845726	563.194766	0.349039994	35.6189578	100	228.345	0	0	3
60	8	0	1.5	563.175817	563.007368	562.846995	563.194766	0.347770555	35.6189578	100	228.407	0	0	3
61	8	0	1.525	563.102025	563.017649	562.846995	563.194766	0.347770555	35.6189578	100	228.371	0	0	3
62	8	0	1.55	563.200321	563.030528	562.846995	563.200321	0.353325555	35.6189578	100	228.339	0	0	3
63	8	0	1.575	563.083111	563.03307	562.846995	563.200321	0.353325555	35.6189578	100	228.412	0	0	3
64	8	0	1.6	563.171141	563.03976	562.846995	563.200321	0.353325555	35.6189578	100	228.403	0	0	3
65	8	0	1.625	563.078236	563.041836	562.846995	563.200321	0.353325555	35.6189578	100	228.373	0	0	3
66	9	0	1.65	563.193942	563.051793	562.846995	563.200321	0.353325555	35.6189578	100	228.414	0	0	3
67	9	0	1.675	563.132941	563.060163	562.846995	563.200321	0.353325555	35.6189578	100	228.318	0	0	3
68	9	0	1.7	563.212908	563.077588	562.894118	563.212908	0.318790057	35.6189578	100	228.315	0	0	3
69	9	0	1.725	563.10259	563.083885	562.894118	563.212908	0.318790057	35.6189578	100	228.398	0	0	3
70	9	0	1.75	563.162487	563.096664	562.899872	563.212908	0.313036035	35.6189578	100	228.352	0	0	3
71	9	0	1.775	563.015954	563.099584	562.899872	563.212908	0.313036035	35.6189578	100	228.385	0	0	3
72	9	0	1.8	563.126242	563.110363	562.97874	563.212908	0.234168026	35.6189578	100	228.349	0	0	3
73	9	0	1.825	563.057228	563.111045	562.97874	563.212908	0.234168026	35.6189578	100	228.37	0	0	3
74	10	0	1.85	563.147426	563.119077	563.005851	563.212908	0.207057277	35.6189578	100	228.403	0	0	3
75	10	0	1.875	563.134303	563.123747	563.005851	563.212908	0.206218354	35.6189578	100	228.424	0	0	3
