Iteration	CPUTime	PhysTime	Travels	CourFact
1	0	0	0.025	0
2	0	0	0.05	0
3	0	0	0.075	0
4	0	0	0.1	0
5	0	0	0.125	0
6	1	0	0.15	0
7	1	0	0.175	0
8	1	0	0.2	0
9	1	0	0.225	0
10	1	0	0.25	0
11	1	0	0.275	0
12	1	0	0.3	0
13	1	0	0.325	0
14	2	0	0.35	0
15	2	0	0.375	0
16	2	0	0.4	0
17	2	0	0.425	0
18	2	0	0.45	0
19	2	0	0.475	0
20	2	0	0.5	0
21	2	0	0.525	0
22	3	0	0.55	0
23	3	0	0.575	0
24	3	0	0.6	0
25	3	0	0.625	0
26	3	0	0.65	0
27	3	0	0.675	0
28	4	0	0.7	0
29	4	0	0.725	0
30	4	0	0.75	0
31	4	0	0.775	0
32	4	0	0.8	0
33	4	0	0.825	0
34	4	0	0.85	0
35	4	0	0.875	0
36	5	0	0.9	0
37	5	0	0.925	0
38	5	0	0.95	0
39	5	0	0.975	0
40	5	0	1	0
41	5	0	1.025	0
42	5	0	1.05	0
43	6	0	1.075	0
44	6	0	1.1	0
45	6	0	1.125	0
46	6	0	1.15	0
47	6	0	1.175	0
48	6	0	1.2	0
49	6	0	1.225	0
50	7	0	1.25	0
51	7	0	1.275	0
52	7	0	1.3	0
53	7	0	1.325	0
54	7	0	1.35	0
55	7	0	1.375	0
56	7	0	1.4	0
57	7	0	1.425	0
58	8	0	1.45	0
59	8	0	1.475	0
60	8	0	1.5	0
61	8	0	1.525	0
62	8	0	1.55	0
63	8	0	1.575	0
64	8	0	1.6	0
65	8	0	1.625	0
66	9	0	1.65	0
67	9	0	1.675	0
68	9	0	1.7	0
69	9	0	1.725	0
70	9	0	1.75	0
71	9	0	1.775	0
72	9	0	1.8	0
73	9	0	1.825	0
74	10	0	1.85	0
75	10	0	1.875	0
