Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0	0.025	0.00207006908	0.00207006908	0.00207006908	0.00207006908	0	0	0	0	0	0	3
2	0	0	0.05	1.01737545e-007	0.00103508541	1.01737545e-007	0.00207006908	0.00103498367	0	0	0	0	0	3
3	0	0	0.075	-2.64280849e-007	0.000689968847	-2.64280849e-007	0.00207006908	0.00138010024	0	0	0	0	0	3
4	1	0	0.1	-6.66926552e-008	0.000517459962	-2.64280849e-007	0.00207006908	0.00155260912	0	0	0	0	0	3
5	1	0	0.125	4.39564718e-009	0.000413968849	-2.64280849e-007	0.00207006908	0.00165610024	0	0	0	0	0	3
6	1	0	0.15	7.20199331e-008	0.000344986044	-2.64280849e-007	0.00207006908	0.00172508304	0	0	0	0	0	3
7	1	0	0.175	4.28290368e-008	0.000295708442	-2.64280849e-007	0.00207006908	0.00177436064	0	0	0	0	0	3
8	1	0	0.2	-1.80473361e-008	0.000258742631	-2.64280849e-007	0.00207006908	0.00181132645	0	0	0	0	0	3
9	1	0	0.225	-2.20751262e-009	0.000229993204	-2.64280849e-007	0.00207006908	0.00184007588	0	0	0	0	0	3
10	1	0	0.25	1.83304816e-009	0.000206994067	-2.64280849e-007	0.00207006908	0.00186307502	0	0	0	0	0	3
11	1	0	0.275	1.26185489e-008	0.000188177572	-2.64280849e-007	0.00207006908	0.00188189151	0	0	0	0	0	3
12	1	0	0.3	2.45815435e-008	0.000172498156	-2.64280849e-007	0.00207006908	0.00189757093	0	0	0	0	0	3
13	1	0	0.325	3.00430285e-008	0.000159231378	-2.64280849e-007	0.00207006908	0.00191083771	0	0	0	0	0	3
14	1	0	0.35	4.61689542e-008	0.000147861006	-2.64280849e-007	0.00207006908	0.00192220808	0	0	0	0	0	3
15	1	0	0.375	5.20871648e-008	0.000138007078	-2.64280849e-007	0.00207006908	0.00193206201	0	0	0	0	0	3
16	1	0	0.4	7.80075917e-008	0.000129386511	-2.64280849e-007	0.00207006908	0.00194068257	0	0	0	0	0	3
17	1	0	0.425	1.62274042e-007	0.000121785085	-2.64280849e-007	0.00207006908	0.001948284	0	0	0	0	0	3
18	1	0	0.45	1.89331556e-007	0.000115029766	-2.64280849e-007	0.00207006908	0.00195503932	0	0	0	0	0	3
19	1	0	0.475	2.47333979e-007	0.000108988585	-2.64280849e-007	0.00207006908	0.0019610805	0	0	0	0	0	3
20	1	0	0.5	3.68973697e-007	0.000103557605	-2.64280849e-007	0.00207006908	0.00196651148	0	0	0	0	0	3
21	2	0	0.525	6.73381367e-007	8.78194165e-008	-2.64280849e-007	6.73381367e-007	9.37662216e-007	0	0	0	0	0	3
22	2	0	0.55	4.75656504e-007	1.06515364e-007	-2.64280849e-007	6.73381367e-007	9.37662216e-007	0	0	0	0	0	3
23	2	0	0.575	6.85307204e-007	1.53994767e-007	-6.66926552e-008	6.85307204e-007	7.51999859e-007	0	0	0	0	0	3
24	2	0	0.6	7.92224076e-007	1.96940604e-007	-1.80473361e-008	7.92224076e-007	8.10271412e-007	0	0	0	0	0	3
25	2	0	0.625	8.42421407e-007	2.38841892e-007	-1.80473361e-008	8.42421407e-007	8.60468743e-007	0	0	0	0	0	3
26	2	0	0.65	8.2549638e-007	2.76515714e-007	-1.80473361e-008	8.42421407e-007	8.60468743e-007	0	0	0	0	0	3
27	2	0	0.675	7.72456642e-007	3.12997094e-007	-1.80473361e-008	8.42421407e-007	8.60468743e-007	0	0	0	0	0	3
28	2	0	0.7	1.60657114e-006	3.94228018e-007	-2.20751262e-009	1.60657114e-006	1.60877865e-006	0	0	0	0	0	3
29	2	0	0.725	1.61185964e-006	4.74931376e-007	1.83304816e-009	1.61185964e-006	1.61002659e-006	0	0	0	0	0	3
30	2	0	0.75	1.23362876e-006	5.36521161e-007	1.26185489e-008	1.61185964e-006	1.59924109e-006	0	0	0	0	0	3
31	2	0	0.775	5.64195365e-007	5.64100002e-007	2.45815435e-008	1.61185964e-006	1.5872781e-006	0	0	0	0	0	3
32	2	0	0.8	8.09391605e-007	6.03340505e-007	3.00430285e-008	1.61185964e-006	1.58181661e-006	0	0	0	0	0	3
33	2	0	0.825	7.91674829e-007	6.41422095e-007	4.61689542e-008	1.61185964e-006	1.56569069e-006	0	0	0	0	0	3
34	2	0	0.85	1.49205498e-006	7.13716397e-007	5.20871648e-008	1.61185964e-006	1.55977248e-006	0	0	0	0	0	3
35	2	0	0.875	1.35427329e-006	7.78825703e-007	7.80075917e-008	1.61185964e-006	1.53385205e-006	0	0	0	0	0	3
36	2	0	0.9	1.86267356e-006	8.68059001e-007	1.62274042e-007	1.86267356e-006	1.70039952e-006	0	0	0	0	0	3
37	2	0	0.925	1.54289088e-006	9.37089843e-007	1.89331556e-007	1.86267356e-006	1.673342e-006	0	0	0	0	0	3
38	2	0	0.95	2.60712334e-007	9.40658882e-007	2.47333979e-007	1.86267356e-006	1.61533958e-006	0	0	0	0	0	3
