Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0135749847	0	0	0	0	0	0	1000	0	0	0	3
2	5	0	0.0271499695	0	0	0	0	0	0	1000	0	0	0	3
3	6	0	0.0407249542	0	0	0	0	0	0	1000	0	0	0	3
4	7	0	0.054299939	0	0	0	0	0	0	1000	0	0	0	3
5	9	0	0.0678749237	0	0	0	0	0	0	1000	0	0	0	3
6	10	0	0.0814499085	0	0	0	0	0	0	1000	0	0	0	3
7	11	0	0.0950248932	0	0	0	0	0	0	1000	0	0	0	3
8	12	0	0.108599878	0	0	0	0	0	0	1000	0	0	0	3
9	14	0	0.122174863	0	0	0	0	0	0	1000	0	0	0	3
10	15	0	0.135749847	0	0	0	0	0	0	1000	0	0	0	3
11	16	0	0.149324832	0	0	0	0	0	0	1000	0	0	0	3
12	17	0	0.162899817	0	0	0	0	0	0	1000	0	0	0	3
13	18	0	0.176474802	0	0	0	0	0	0	1000	0	0	0	3
14	20	0	0.190049786	0	0	0	0	0	0	1000	0	0	0	3
15	21	0	0.203624771	0	0	0	0	0	0	1000	0	0	0	3
