Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0135749847	293.2	293.2	293.2	293.2	0	0	0	8.73603e-005	0	0	3
2	5	0	0.0271499695	293.2	293.2	293.2	293.2	3.82487997e-009	0	0	0.000119674	0	0	3
3	6	0	0.0407249542	293.2	293.2	293.2	293.2	7.53146878e-009	0	0	0.000140492	0	0	3
4	7	0	0.054299939	293.2	293.2	293.2	293.2	1.10178462e-008	0	0	0.000154104	0	0	3
5	9	0	0.0678749237	293.2	293.2	293.2	293.2	1.44959813e-008	0	0	0.000163635	0	0	3
6	10	0	0.0814499085	293.2	293.2	293.2	293.2	1.87819182e-008	0	0	0.000171288	0	0	3
7	11	0	0.0950248932	293.2	293.2	293.2	293.2	2.39044198e-008	0	0	0.000171752	0	0	3
8	12	0	0.108599878	293.2	293.2	293.2	293.2	2.95420932e-008	0	0	0.000170688	0	0	3
9	14	0	0.122174863	293.2	293.2	293.2	293.2	3.55076963e-008	0	0	0.000170033	0	0	3
10	15	0	0.135749847	293.2	293.2	293.2	293.2	4.16482635e-008	0	0	0.000177464	0	0	3
11	16	0	0.149324832	293.2	293.2	293.2	293.2	4.85217129e-008	0	0	0.00018128	0	0	3
12	17	0	0.162899817	293.2	293.2	293.2	293.2	5.72158569e-008	0	0	0.000189731	0	0	3
13	18	0	0.176474802	293.2	293.2	293.2	293.2	6.75470915e-008	0	0	0.000236587	0	0	3
14	20	0	0.190049786	293.2	293.2	293.2	293.2	7.93540949e-008	0	0	0.000274372	0	0	3
15	21	0	0.203624771	293.2	293.2	293.2	293.2	9.23323569e-008	0	0	0.000287746	0	0	3
