Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	-0.0285475577	-0.0285475577	-0.0285475577	-0.0285475577	0	0	0	0	0	0	3
2	1	0	0.05	-0.0588908725	-0.0437192151	-0.0588908725	-0.0285475577	0.0151716574	0	0	0	0	0	3
3	1	0	0.075	-0.0594449046	-0.0489611116	-0.0594449046	-0.0285475577	0.0204135539	0	0	0	0	0	3
4	1	0	0.1	-0.0564112737	-0.0508236521	-0.0594449046	-0.0285475577	0.0222760944	0	0	0	0	0	3
5	1	0	0.125	-0.0558962778	-0.0518381773	-0.0594449046	-0.0285475577	0.0232906195	0	0	0	0	0	3
6	1	0	0.15	-0.0583906002	-0.0529302478	-0.0594449046	-0.0285475577	0.02438269	0	0	0	0	0	3
7	1	0	0.175	-0.0599483418	-0.0539328326	-0.0599483418	-0.0285475577	0.0253852749	0	0	0	0	0	3
8	2	0	0.2	-0.0586818138	-0.0545264553	-0.0599483418	-0.0285475577	0.0259788975	0	0	0	0	0	3
9	2	0	0.225	-0.0582758939	-0.0549430596	-0.0599483418	-0.0285475577	0.0263955018	0	0	0	0	0	3
10	2	0	0.25	-0.0576475709	-0.0552135107	-0.0599483418	-0.0285475577	0.026665953	0	0	0	0	0	3
11	2	0	0.275	-0.000480488472	-0.0502377814	-0.0599483418	-0.000480488472	0.026665953	0	0	0	0	0	3
12	2	0	0.3	-0.000410337987	-0.0460854945	-0.0599483418	-0.000410337987	0.026665953	0	0	0	0	0	3
13	2	0	0.325	-0.000272193491	-0.0425613944	-0.0599483418	-0.000272193491	0.026665953	0	0	0	0	0	3
14	2	0	0.35	-0.000328193229	-0.0395447372	-0.0599483418	-0.000272193491	0.026665953	0	0	0	0	0	3
15	2	0	0.375	-0.000123879778	-0.03691668	-0.0599483418	-0.000123879778	0.026665953	0	0	0	0	0	3
16	3	0	0.4	-0.000114807371	-0.034616563	-0.0599483418	-0.000114807371	0.026665953	0	0	0	0	0	3
17	3	0	0.425	-0.000110650742	-0.0325868034	-0.0599483418	-0.000110650742	0.026665953	0	0	0	0	0	3
18	3	0	0.45	-4.75364725e-005	-0.0307790664	-0.0599483418	-4.75364725e-005	0.026665953	0	0	0	0	0	3
19	3	0	0.475	-5.30862035e-005	-0.0291619095	-0.0599483418	-4.75364725e-005	0.026665953	0	0	0	0	0	3
20	3	0	0.5	-4.53030552e-006	-0.0277040406	-0.0599483418	-4.53030552e-006	0.0275094701	0	0	0	0	0	3
21	3	0	0.525	-3.25703746e-005	-0.0262782912	-0.0599483418	-4.53030552e-006	0.0289352195	0	0	0	0	0	3
22	3	0	0.55	-3.96131663e-005	-0.0233357282	-0.0599483418	-4.53030552e-006	0.0318777825	0	0	0	0	0	3
23	3	0	0.575	-0.000110326747	-0.0203689993	-0.0599483418	-4.53030552e-006	0.0348445114	0	0	0	0	0	3
24	4	0	0.6	4.39611898e-006	-0.0175482158	-0.0599483418	4.39611898e-006	0.0376652949	0	0	0	0	0	3
25	4	0	0.625	-3.03023427e-005	-0.0147549171	-0.0599483418	4.39611898e-006	0.0404585936	0	0	0	0	0	3
26	4	0	0.65	-7.28789115e-005	-0.011839031	-0.0599483418	4.39611898e-006	0.0433744797	0	0	0	0	0	3
27	4	0	0.675	-7.408587e-005	-0.0088453182	-0.0586818138	4.39611898e-006	0.0463681925	0	0	0	0	0	3
28	4	0	0.7	3.37048233e-005	-0.00590954227	-0.0582758939	3.37048233e-005	0.0493039684	0	0	0	0	0	3
29	4	0	0.725	6.86301015e-005	-0.00299231606	-0.0576475709	6.86301015e-005	0.0522211946	0	0	0	0	0	3
30	4	0	0.75	8.13774208e-005	-0.00010586865	-0.000480488472	8.13774208e-005	0.000561865893	0	0	0	0	0	3
31	4	0	0.775	-4.92662762e-005	-8.43075401e-005	-0.000410337987	8.13774208e-005	0.000491715407	0	0	0	0	0	3
32	5	0	0.8	6.66412109e-005	-6.04585803e-005	-0.000328193229	8.13774208e-005	0.00040957065	0	0	0	0	0	3
33	5	0	0.825	0.000235274242	-3.50851936e-005	-0.000328193229	0.000235274242	0.000563467471	0	0	0	0	0	3
34	5	0	0.85	0.000130739886	-1.21385379e-005	-0.000123879778	0.000235274242	0.00035915402	0	0	0	0	0	3
35	5	0	0.875	0.000206176158	4.36425893e-006	-0.000114807371	0.000235274242	0.000350081613	0	0	0	0	0	3
36	5	0	0.9	3.80560771e-005	1.20074313e-005	-0.000110650742	0.000235274242	0.000345924984	0	0	0	0	0	3
37	5	0	0.925	0.000279961919	3.15380644e-005	-0.000110326747	0.000279961919	0.000390288667	0	0	0	0	0	3
38	5	0	0.95	0.000105279822	3.91788791e-005	-0.000110326747	0.000279961919	0.000390288667	0	0	0	0	0	3
39	5	0	0.975	0.000301699487	5.69181637e-005	-0.000110326747	0.000301699487	0.000412026235	0	0	0	0	0	3
