Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0	0.025	101457.659	101457.659	101457.659	101457.659	0	0	0	256.685	0	0	3
2	0	0	0.05	101408.129	101432.894	101408.129	101457.659	24.765018	0	0	178.522	0	0	3
3	0	0	0.075	101402.35	101422.713	101402.35	101457.659	34.9463177	0	0	176.376	0	0	3
4	1	0	0.1	101402.336	101417.619	101402.336	101457.659	40.040624	0	0	177.408	0	0	3
5	1	0	0.125	101403.246	101414.744	101402.336	101457.659	42.9152242	0	0	179.251	0	0	3
6	1	0	0.15	101403.372	101412.849	101402.336	101457.659	44.8106316	0	0	180.445	0	0	3
7	1	0	0.175	101403.335	101411.49	101402.336	101457.659	46.1697092	0	0	182.177	0	0	3
8	1	0	0.2	101403.335	101410.47	101402.336	101457.659	47.1890797	0	0	184.588	0	0	3
9	1	0	0.225	101403.38	101409.682	101402.336	101457.659	47.9769175	0	0	187.087	0	0	3
10	1	0	0.25	101403.451	101409.059	101402.336	101457.659	48.6000749	0	0	190.702	0	0	3
11	1	0	0.275	101403.575	101408.561	101402.336	101457.659	49.0986331	0	0	192.849	0	0	3
12	1	0	0.3	101403.821	101408.166	101402.336	101457.659	49.4935953	0	0	194.852	0	0	3
13	1	0	0.325	101404.112	101407.854	101402.336	101457.659	49.8053835	0	0	196.838	0	0	3
14	1	0	0.35	101404.515	101407.615	101402.336	101457.659	50.0438709	0	0	199.439	0	0	3
15	1	0	0.375	101404.964	101407.439	101402.336	101457.659	50.2206161	0	0	202.534	0	0	3
16	1	0	0.4	101405.831	101407.338	101402.336	101457.659	50.3211108	0	0	206.375	0	0	3
17	1	0	0.425	101406.898	101407.312	101402.336	101457.659	50.3470003	0	0	210.858	0	0	3
18	1	0	0.45	101408.28	101407.366	101402.336	101457.659	50.3470003	0	0	215.856	0	0	3
19	1	0	0.475	101409.965	101407.503	101402.336	101457.659	50.3470003	0	0	221.163	0	0	3
20	1	0	0.5	101411.673	101407.711	101402.336	101457.659	50.3470003	0	0	225.989	0	0	3
21	2	0	0.525	101414.311	101405.544	101402.336	101414.311	11.9754993	0	0	232.153	0	0	3
22	2	0	0.55	101418.254	101406.05	101402.336	101418.254	15.9186719	0	0	239.978	0	0	3
23	2	0	0.575	101422.745	101407.07	101402.336	101422.745	12.0747525	0	0	248.124	0	0	3
24	2	0	0.6	101427.548	101408.331	101403.246	101427.548	9.2001523	0	0	256.187	0	0	3
25	2	0	0.625	101432.596	101409.798	101403.335	101432.596	7.30474495	0	0	264.224	0	0	3
26	2	0	0.65	101438.532	101411.556	101403.335	101438.532	6.01216	0	0	272.942	0	0	3
27	2	0	0.675	101445.243	101413.651	101403.335	101445.243	8.10754588	0	0	282.396	0	0	3
28	2	0	0.7	101451.79	101416.074	101403.38	101451.79	10.5303139	0	0	291.402	0	0	3
29	2	0	0.725	101457.708	101418.791	101403.451	101457.708	13.2467144	0	0	299.374	0	0	3
30	2	0	0.75	101462.77	101421.757	101403.575	101462.77	16.2126915	0	0	305.992	0	0	3
31	2	0	0.775	101467.341	101424.945	101403.821	101467.341	19.4010108	0	0	311.732	0	0	3
32	2	0	0.8	101471.78	101428.343	101404.112	101471.78	22.7989369	0	0	317.204	0	0	3
33	2	0	0.825	101475.478	101431.911	101404.515	101475.478	26.3671936	0	0	321.696	0	0	3
34	2	0	0.85	101478.289	101435.6	101404.964	101478.289	30.0559088	0	0	325.12	0	0	3
35	2	0	0.875	101480.242	101439.364	101405.831	101480.242	33.819798	0	0	327.535	0	0	3
36	2	0	0.9	101481.373	101443.141	101406.898	101481.373	37.5969092	0	0	329.002	0	0	3
37	2	0	0.925	101482.167	101446.904	101408.28	101482.167	41.3603547	0	0	330.105	0	0	3
38	2	0	0.95	101482.655	101450.623	101409.965	101482.655	45.0790976	0	0	330.855	0	0	3
