Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	1207646.98	1207646.98	1207646.98	1207646.98	0	0	0	0	0	0	3
2	1	0	0.05	2912783.04	2060215.01	1207646.98	2912783.04	852568.033	0	0	0	0	0	3
3	1	0	0.075	2943110.43	2354513.48	1207646.98	2943110.43	1146866.51	0	0	0	0	0	3
4	1	0	0.1	3114833.05	2544593.37	1207646.98	3114833.05	1336946.4	0	0	0	0	0	3
5	2	0	0.125	3079635.17	2651601.73	1207646.98	3114833.05	1443954.76	0	0	0	0	0	3
6	2	0	0.15	3287213.14	2757536.97	1207646.98	3287213.14	1549889.99	0	0	0	0	0	3
7	2	0	0.175	3659311.6	2886361.92	1207646.98	3659311.6	1678714.94	0	0	0	0	0	3
8	2	0	0.2	3866455.71	3008873.64	1207646.98	3866455.71	1801226.66	0	0	0	0	0	3
9	2	0	0.225	4643411.23	3190488.93	1207646.98	4643411.23	1982841.95	0	0	0	0	0	3
10	2	0	0.25	4797829.75	3351223.01	1207646.98	4797829.75	2143576.03	0	0	0	0	0	3
11	2	0	0.275	5946751.36	3587180.13	1207646.98	5946751.36	2379533.16	0	0	0	0	0	3
12	2	0	0.3	6655498.83	3842873.36	1207646.98	6655498.83	2635226.38	0	0	0	0	0	3
13	2	0	0.325	7496389.3	4123913.04	1207646.98	7496389.3	2916266.07	0	0	0	0	0	3
14	2	0	0.35	8336118.33	4424784.85	1207646.98	8336118.33	3217137.87	0	0	0	0	0	3
15	2	0	0.375	7845602.41	4652839.35	1207646.98	8336118.33	3445192.38	0	0	0	0	0	3
16	2	0	0.4	9655306.14	4965493.53	1207646.98	9655306.14	3757846.55	0	0	0	0	0	3
17	3	0	0.425	10029095.2	5263352.45	1207646.98	10029095.2	4055705.47	0	0	0	0	0	3
18	3	0	0.45	9455702.44	5496260.78	1207646.98	10029095.2	4288613.8	0	0	0	0	0	3
19	3	0	0.475	12702903.7	5875557.78	1207646.98	12702903.7	4667910.8	0	0	0	0	0	3
20	3	0	0.5	11780777.7	6170818.77	1207646.98	12702903.7	4963171.8	0	0	0	0	0	3
21	3	0	0.525	12011992	6711036.02	2912783.04	12702903.7	4650821.01	0	0	0	0	0	3
22	3	0	0.55	12580871.8	7194440.46	2943110.43	12702903.7	4839926.98	0	0	0	0	0	3
23	3	0	0.575	13083253.6	7701447.62	3079635.17	13083253.6	5156854.24	0	0	0	0	0	3
24	3	0	0.6	13475630.4	8219487.48	3079635.17	13475630.4	5567885.75	0	0	0	0	0	3
25	3	0	0.625	14207060.3	8775858.74	3287213.14	14207060.3	6018321.77	0	0	0	0	0	3
26	3	0	0.65	14826939.1	9352845.04	3659311.6	14826939.1	6466483.12	0	0	0	0	0	3
27	3	0	0.675	13974295.9	9868594.25	3866455.71	14826939.1	6859720.61	0	0	0	0	0	3
28	4	0	0.7	14718124.4	10411177.7	4643411.23	14826939.1	7220688.76	0	0	0	0	0	3
29	4	0	0.725	16221765.7	10990095.4	4797829.75	16221765.7	7638872.41	0	0	0	0	0	3
30	4	0	0.75	9746131.67	11237510.5	5946751.36	16221765.7	7650330.38	0	0	0	0	0	3
31	4	0	0.775	10929951.1	11486670.5	6655498.83	16221765.7	7643797.14	0	0	0	0	0	3
32	4	0	0.8	13908360.4	11849313.6	7496389.3	16221765.7	7725400.53	0	0	0	0	0	3
33	4	0	0.825	8310609.57	11890024.6	7845602.41	16221765.7	7465239.74	0	0	0	0	0	3
34	4	0	0.85	8921495.41	11919293.4	7845602.41	16221765.7	7266454.09	0	0	0	0	0	3
35	4	0	0.875	6834523	11868739.5	6834523	16221765.7	6953799.91	0	0	0	0	0	3
36	4	0	0.9	6475683.84	11709758.4	6475683.84	16221765.7	6655940.99	0	0	0	0	0	3
37	4	0	0.925	6215529.22	11519080.1	6215529.22	16221765.7	6423032.66	0	0	0	0	0	3
38	4	0	0.95	5125149.13	11302552.4	5125149.13	16221765.7	6043735.66	0	0	0	0	0	3
39	5	0	0.975	4929323.73	10913873.4	4929323.73	16221765.7	5748474.67	0	0	0	0	0	3
40	5	0	1	5600940.16	10604881.5	4929323.73	16221765.7	5208257.42	1991798.29	38.2	0	0	0	3
41	5	0	1.025	5628506.16	10285707.2	4929323.73	16221765.7	4724852.98	1991798.29	42.1	0	0	0	3
