Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	0.00265026633	0.00265026633	0.00265026633	0.00265026633	0	0	0	0	0	0	3
2	1	0	0.05	-6.89057212e-005	0.0012906803	-6.89057212e-005	0.00265026633	0.00135958603	0	0	0	0	0	3
3	1	0	0.075	3.20532793e-005	0.000871137962	-6.89057212e-005	0.00265026633	0.00177912837	0	0	0	0	0	3
4	1	0	0.1	-5.38544491e-005	0.000639889859	-6.89057212e-005	0.00265026633	0.00201037647	0	0	0	0	0	3
5	2	0	0.125	3.90500726e-006	0.000512692889	-6.89057212e-005	0.00265026633	0.00213757344	0	0	0	0	0	3
6	2	0	0.15	8.03447397e-006	0.000428583153	-6.89057212e-005	0.00265026633	0.00222168318	0	0	0	0	0	3
7	2	0	0.175	1.15396243e-005	0.000369005506	-6.89057212e-005	0.00265026633	0.00228126082	0	0	0	0	0	3
8	2	0	0.2	1.31967012e-005	0.000324529406	-6.89057212e-005	0.00265026633	0.00232573692	0	0	0	0	0	3
9	2	0	0.225	-2.43168292e-005	0.000285768713	-6.89057212e-005	0.00265026633	0.00236449762	0	0	0	0	0	3
10	2	0	0.25	1.29137367e-005	0.000258483215	-6.89057212e-005	0.00265026633	0.00239178311	0	0	0	0	0	3
11	2	0	0.275	-2.63994869e-005	0.000232584788	-6.89057212e-005	0.00265026633	0.00241768154	0	0	0	0	0	3
12	2	0	0.3	-7.01295102e-005	0.000207358596	-7.01295102e-005	0.00265026633	0.00244290773	0	0	0	0	0	3
13	2	0	0.325	-0.000105206648	0.000183315116	-0.000105206648	0.00265026633	0.00246695121	0	0	0	0	0	3
14	2	0	0.35	-7.48021843e-005	0.000164878166	-0.000105206648	0.00265026633	0.00248538816	0	0	0	0	0	3
15	2	0	0.375	-4.46564751e-006	0.000153588578	-0.000105206648	0.00265026633	0.00249667775	0	0	0	0	0	3
16	2	0	0.4	-4.55776868e-005	0.000141140687	-0.000105206648	0.00265026633	0.00250912564	0	0	0	0	0	3
17	3	0	0.425	-0.000127917484	0.000125313736	-0.000127917484	0.00265026633	0.00252495259	0	0	0	0	0	3
18	3	0	0.45	-0.000198463849	0.000107326092	-0.000198463849	0.00265026633	0.00254294024	0	0	0	0	0	3
19	3	0	0.475	-0.000228832029	8.96335593e-005	-0.000228832029	0.00265026633	0.00256063277	0	0	0	0	0	3
20	3	0	0.5	-0.000160742813	7.71147407e-005	-0.000228832029	0.00265026633	0.00257315159	0	0	0	0	0	3
21	3	0	0.525	-5.92833537e-005	-5.83627435e-005	-0.000228832029	3.20532793e-005	0.000260885308	0	0	0	0	0	3
22	3	0	0.55	-9.06089826e-005	-5.94479065e-005	-0.000228832029	3.20532793e-005	0.000260885308	0	0	0	0	0	3
23	3	0	0.575	-0.000319931794	-7.70471602e-005	-0.000319931794	1.31967012e-005	0.000333128495	0	0	0	0	0	3
24	3	0	0.6	-0.000233649179	-8.60368967e-005	-0.000319931794	1.31967012e-005	0.000333128495	0	0	0	0	0	3
25	3	0	0.625	-0.000392939276	-0.000105879111	-0.000392939276	1.31967012e-005	0.000406135978	0	0	0	0	0	3
26	3	0	0.65	-0.000152275949	-0.000113894632	-0.000392939276	1.31967012e-005	0.000406135978	0	0	0	0	0	3
27	3	0	0.675	8.48593819e-005	-0.000110228644	-0.000392939276	8.48593819e-005	0.000438424038	0	0	0	0	0	3
28	4	0	0.7	0.000429228669	-8.94270457e-005	-0.000392939276	0.000429228669	0.000399663345	0	0	0	0	0	3
29	4	0	0.725	0.000451837188	-6.56193449e-005	-0.000392939276	0.000451837188	0.000372377847	0	0	0	0	0	3
30	4	0	0.75	0.000485613013	-4.19843811e-005	-0.000392939276	0.000485613013	0.00034647942	0	0	0	0	0	3
31	4	0	0.775	0.000693413358	-5.9937388e-006	-0.000392939276	0.000693413358	0.000321253228	0	0	0	0	0	3
32	4	0	0.8	0.000740756513	3.45505623e-005	-0.000392939276	0.000740756513	0.000297209748	0	0	0	0	0	3
33	4	0	0.825	0.000416294964	6.0625643e-005	-0.000392939276	0.000740756513	0.000278772798	0	0	0	0	0	3
34	4	0	0.85	-5.23005508e-005	6.17507246e-005	-0.000392939276	0.000740756513	0.00026748321	0	0	0	0	0	3
35	4	0	0.875	-0.000119046233	5.60216954e-005	-0.000392939276	0.000740756513	0.000255035319	0	0	0	0	0	3
36	4	0	0.9	-0.000463246728	3.51382434e-005	-0.000463246728	0.000740756513	0.000239208368	0	0	0	0	0	3
37	4	0	0.925	-0.000731252679	4.97148359e-006	-0.000731252679	0.000740756513	0.000221220724	0	0	0	0	0	3
38	4	0	0.95	-0.000459159463	-8.0632971e-006	-0.000731252679	0.000740756513	0.000203528191	0	0	0	0	0	3
39	5	0	0.975	-0.000355912868	-1.44173391e-005	-0.000731252679	0.000740756513	0.000191009373	0	0	0	0	0	3
40	5	0	1	-2.51244376e-005	-7.63642027e-006	-0.000731252679	0.000740756513	0.000175645357	0.667802021	100	0	0	0	3
41	5	0	1.025	0.000290675529	9.86152386e-006	-0.000731252679	0.000740756513	0.000175645357	0.667802021	100	0	0	0	3
42	5	0	1.05	0.000188926254	2.38382857e-005	-0.000731252679	0.000740756513	0.000175645357	0.667802021	100	0	0	0	3
43	5	0	1.075	0.000321121812	5.5890966e-005	-0.000731252679	0.000740756513	0.000175645357	0.667802021	100	0	0	0	3
44	5	0	1.1	-0.000275892456	4.00917554e-005	-0.000731252679	0.000740756513	0.000175645357	0.667802021	100	0	0	0	3
45	5	0	1.125	0.000600253333	7.98013989e-005	-0.000731252679	0.000740756513	0.000193696031	0.667802021	100	0	0	0	3
46	5	0	1.15	0.0005469965	0.000124560245	-0.000731252679	0.000740756513	0.000238454877	0.667802021	100	0	0	0	3
47	5	0	1.175	0.00032811938	0.000147436213	-0.000731252679	0.000740756513	0.000257664857	0.667802021	100	0	0	0	3
48	5	0	1.2	-0.000468335649	0.000121093593	-0.000731252679	0.000740756513	0.000236863259	0.667802021	100	0	0	0	3
49	6	0	1.225	-0.000539623341	7.49577829e-005	-0.000731252679	0.000740756513	0.000213055558	0.667802021	100	0	0	0	3
50	6	0	1.25	-0.000275035153	4.03448143e-005	-0.000731252679	0.000740756513	0.000189420594	0.667802021	100	0	0	0	3
51	6	0	1.275	0.000304636466	3.17268834e-005	-0.000731252679	0.000740756513	0.000161853552	0.667802021	100	0	0	0	3
52	6	0	1.3	6.80661671e-005	1.94844576e-006	-0.000731252679	0.000740756513	0.000161853552	0.667802021	100	0	0	0	3
53	6	0	1.325	0.000627460304	-3.44661179e-006	-0.000731252679	0.000627460304	0.000161853552	0.667802021	100	0	0	0	3
54	6	0	1.35	0.000289973578	-9.4619159e-006	-0.000731252679	0.000627460304	0.000161853552	0.667802021	100	0	0	0	3
55	6	0	1.375	0.00022502447	3.74403748e-006	-0.000731252679	0.000627460304	0.000161853552	0.667802021	100	0	0	0	3
56	6	0	1.4	0.00022206027	1.99872043e-005	-0.000731252679	0.000627460304	0.000161853552	0.667802021	100	0	0	0	3
57	7	0	1.425	-0.000344523116	2.56407096e-005	-0.000731252679	0.000627460304	0.000161853552	0.667802021	100	0	0	0	3
58	7	0	1.45	-0.000100259319	5.56880125e-005	-0.000539623341	0.000627460304	0.000161853552	0.667802021	100	0	0	0	3
59	7	0	1.475	0.000250956194	8.95030437e-005	-0.000539623341	0.000627460304	0.000161853552	0.667802021	100	0	0	0	3
60	7	0	1.5	0.000378719706	0.000124485547	-0.000539623341	0.000627460304	0.000156898129	0.667802021	100	0	0	0	3
61	7	0	1.525	0.000153198506	0.000132977116	-0.000539623341	0.000627460304	0.000156898129	0.667802021	100	0	0	0	3
62	7	0	1.55	0.000352861739	0.000135938364	-0.000539623341	0.000627460304	0.000156898129	0.667802021	100	0	0	0	3
63	7	0	1.575	-0.000354479687	0.000110061891	-0.000539623341	0.000627460304	0.000156898129	0.667802021	100	0	0	0	3
64	7	0	1.6	-0.000310552017	7.99821845e-005	-0.000539623341	0.000627460304	0.000156898129	0.667802021	100	0	0	0	3
65	7	0	1.625	0.000615668825	0.000122437484	-0.000539623341	0.000627460304	0.000156898129	0.667802021	100	0	0	0	3
66	7	0	1.65	0.000401117571	0.000112954828	-0.000539623341	0.000627460304	0.000156898129	0.667802021	100	0	0	0	3
67	7	0	1.675	0.000138261858	9.34912739e-005	-0.000539623341	0.000627460304	0.000156898129	0.667802021	100	0	0	0	3
