Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	293.279872	293.279872	293.279872	293.279872	0	0	0	646.81	0	0	3
2	1	0	0.05	293.472609	293.376241	293.279872	293.472609	0.0963686399	0	0	646.815	0	0	3
3	1	0	0.075	293.664416	293.472299	293.279872	293.664416	0.192427139	0	0	646.816	0	0	3
4	1	0	0.1	293.866495	293.570848	293.279872	293.866495	0.290976091	0	0	646.817	0	0	3
5	2	0	0.125	294.065832	293.669845	293.279872	294.065832	0.38997286	0	0	646.818	0	0	3
6	2	0	0.15	294.399144	293.791395	293.279872	294.399144	0.511522755	0	0	646.82	0	0	3
7	2	0	0.175	294.786937	293.933615	293.279872	294.786937	0.653743058	0	0	646.822	0	0	3
8	2	0	0.2	295.185364	294.090084	293.279872	295.185364	0.81021169	0	0	646.824	0	0	3
9	2	0	0.225	295.668245	294.265435	293.279872	295.668245	0.985562972	0	0	646.825	0	0	3
10	2	0	0.25	296.155664	294.454458	293.279872	296.155664	1.17458586	0	0	646.825	0	0	3
11	2	0	0.275	297.066303	294.691898	293.279872	297.066303	1.41202633	0	0	646.821	0	0	3
12	2	0	0.3	298.04917	294.971671	293.279872	298.04917	1.69179899	0	0	646.804	0	0	3
13	2	0	0.325	299.16089	295.293918	293.279872	299.16089	2.01404659	0	0	646.801	0	0	3
14	2	0	0.35	300.386248	295.657656	293.279872	300.386248	2.37778438	0	0	646.8	0	0	3
15	2	0	0.375	301.486234	296.046228	293.279872	301.486234	2.76635621	0	0	646.8	0	0	3
16	2	0	0.4	303.566341	296.516235	293.279872	303.566341	3.23636329	0	0	646.8	0	0	3
17	3	0	0.425	305.689139	297.055818	293.279872	305.689139	3.77594589	0	0	646.8	0	0	3
18	3	0	0.45	307.599557	297.641581	293.279872	307.599557	4.36170917	0	0	646.8	0	0	3
19	3	0	0.475	310.470815	298.316804	293.279872	310.470815	5.03693199	0	0	646.8	0	0	3
20	3	0	0.5	312.940565	299.047992	293.279872	312.940565	5.76812006	0	0	646.804	0	0	3
21	3	0	0.525	316.717278	300.219862	293.472609	316.717278	6.84362172	0	0	646.8	0	0	3
22	3	0	0.55	320.706661	301.581565	293.664416	320.706661	8.1092658	0	0	646.8	0	0	3
23	3	0	0.575	324.949724	303.14583	293.866495	324.949724	9.57498225	0	0	646.801	0	0	3
24	3	0	0.6	329.400941	304.922553	294.065832	329.400941	11.2527078	0	0	646.801	0	0	3
25	3	0	0.625	334.223812	306.930452	294.399144	334.223812	13.1390569	0	0	646.801	0	0	3
26	3	0	0.65	342.015527	309.311271	294.786937	342.015527	15.3776557	0	0	646.807	0	0	3
27	3	0	0.675	349.094915	312.02667	295.185364	349.094915	17.936586	0	0	646.801	0	0	3
28	4	0	0.7	356.429651	315.088884	295.668245	356.429651	20.8234491	0	0	646.8	0	0	3
29	4	0	0.725	364.218971	318.51642	296.155664	364.218971	24.0619625	0	0	646.801	0	0	3
30	4	0	0.75	366.355116	322.026393	297.066303	366.355116	27.3344946	0	0	646.801	0	0	3
31	4	0	0.775	368.759522	325.611054	298.04917	368.759522	30.6393829	0	0	646.801	0	0	3
32	4	0	0.8	372.244292	329.32081	299.16089	372.244292	34.0268914	0	0	646.819	0	0	3
33	4	0	0.825	368.609469	332.793239	300.386248	372.244292	37.1355826	0	0	646.803	0	0	3
34	4	0	0.85	365.242316	336.036042	301.486234	372.244292	39.9898142	0	0	646.802	0	0	3
35	4	0	0.875	359.537954	338.938628	303.566341	372.244292	42.4223932	0	0	646.811	0	0	3
36	4	0	0.9	352.43379	341.382001	305.689139	372.244292	44.326183	0	0	646.802	0	0	3
37	4	0	0.925	347.021726	343.44863	307.599557	372.244292	45.807049	0	0	646.802	0	0	3
38	4	0	0.95	341.68567	345.152936	310.470815	372.244292	46.8361319	0	0	646.833	0	0	3
39	5	0	0.975	337.624472	346.510619	312.940565	372.244292	47.4626267	0	0	646.807	0	0	3
40	5	0	1	335.715626	347.649372	316.717278	372.244292	47.4295094	11.7869814	24.8	646.801	0	0	3
41	5	0	1.025	334.278185	348.527417	320.706661	372.244292	46.9458522	11.7869814	25.1	646.809	0	0	3
42	5	0	1.05	333.532754	349.168722	324.949724	372.244292	46.0228915	11.7869814	25.6	646.807	0	0	3
43	5	0	1.075	336.024092	349.72244	329.400941	372.244292	42.8433512	11.7869814	27.5	646.8	0	0	3
44	5	0	1.1	332.803511	348.916777	329.400941	372.244292	42.8433512	11.7869814	27.5	646.833	0	0	3
45	5	0	1.125	326.5646	348.781713	326.5646	372.244292	42.7919886	11.7869814	27.5	646.81	0	0	3
46	5	0	1.15	322.235738	348.210852	322.235738	372.244292	40.4111694	11.7869814	29.1	646.802	0	0	3
47	5	0	1.175	324.835671	347.392764	322.235738	372.244292	37.6957705	11.7869814	31.2	646.812	0	0	3
48	5	0	1.2	333.611299	346.655449	322.235738	372.244292	34.6335562	11.7869814	34	646.807	0	0	3
49	6	0	1.225	344.679555	346.095921	322.235738	372.244292	31.2060199	11.7869814	37.7	646.8	0	0	3
50	6	0	1.25	356.119219	345.710218	322.235738	372.244292	27.6960472	11.7869814	42.5	646.829	0	0	3
51	6	0	1.275	352.783699	345.06396	322.235738	372.244292	24.1113863	11.7869814	48.8	646.812	0	0	3
52	6	0	1.3	351.672887	344.250311	322.235738	372.244292	20.4016302	11.7869814	57.7	646.803	0	0	3
53	6	0	1.325	345.369938	342.97058	322.235738	368.609469	16.9292012	11.7869814	69.6	646.82	0	0	3
54	6	0	1.35	343.006582	341.751395	322.235738	365.242316	13.6863978	11.7869814	86.1	646.812	0	0	3
55	6	0	1.375	338.971118	340.500385	322.235738	359.537954	10.7838118	11.7869814	100	646.801	0	0	3
56	6	0	1.4	339.070057	339.525723	322.235738	356.119219	10.1967168	11.7869814	100	646.829	0	0	3
57	7	0	1.425	336.434471	338.763851	322.235738	356.119219	10.9585891	11.7869814	100	646.813	0	0	3
58	7	0	1.45	337.245898	338.298335	322.235738	356.119219	11.4241047	11.7869814	100	646.806	0	0	3
59	7	0	1.475	334.989727	337.979481	322.235738	356.119219	11.7429592	11.7869814	100	646.831	0	0	3
60	7	0	1.5	336.328654	337.917775	322.235738	356.119219	11.8046648	11.7869814	99.8	646.809	0	0	3
61	7	0	1.525	334.208327	337.845999	322.235738	356.119219	11.876441	11.7869814	99.2	646.802	0	0	3
62	7	0	1.55	345.661738	338.388073	322.235738	356.119219	11.876441	11.7869814	99.2	646.825	0	0	3
