Iteration	CPUTime	PhysTime	Travels	CourFact
1	1	0	0.025	0
2	1	0	0.05	0
3	1	0	0.075	0
4	1	0	0.1	0
5	2	0	0.125	0
6	2	0	0.15	0
7	2	0	0.175	0
8	2	0	0.2	0
9	2	0	0.225	0
10	2	0	0.25	0
11	2	0	0.275	0
12	2	0	0.3	0
13	2	0	0.325	0
14	2	0	0.35	0
15	2	0	0.375	0
16	2	0	0.4	0
17	3	0	0.425	0
18	3	0	0.45	0
19	3	0	0.475	0
20	3	0	0.5	0
21	3	0	0.525	0
22	3	0	0.55	0
23	3	0	0.575	0
24	3	0	0.6	0
25	3	0	0.625	0
26	3	0	0.65	0
27	3	0	0.675	0
28	4	0	0.7	0
29	4	0	0.725	0
30	4	0	0.75	0
31	4	0	0.775	0
32	4	0	0.8	0
33	4	0	0.825	0
34	4	0	0.85	0
35	4	0	0.875	0
36	4	0	0.9	0
37	4	0	0.925	0
38	4	0	0.95	0
39	5	0	0.975	0
40	5	0	1	0
41	5	0	1.025	0
42	5	0	1.05	0
43	5	0	1.075	0
44	5	0	1.1	0
45	5	0	1.125	0
46	5	0	1.15	0
47	5	0	1.175	0
48	5	0	1.2	0
49	6	0	1.225	0
50	6	0	1.25	0
51	6	0	1.275	0
52	6	0	1.3	0
53	6	0	1.325	0
54	6	0	1.35	0
55	6	0	1.375	0
56	6	0	1.4	0
57	7	0	1.425	0
58	7	0	1.45	0
59	7	0	1.475	0
60	7	0	1.5	0
61	7	0	1.525	0
62	7	0	1.55	0
63	7	0	1.575	0
64	7	0	1.6	0
65	7	0	1.625	0
66	7	0	1.65	0
67	7	0	1.675	0
