Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0188307691	2.02712519	2.02712519	2.02712519	2.02712519	0	0	0	0	0	0	3
2	3	0	0.0376615382	2.02999704	2.02856112	2.02712519	2.02999704	0.00143592491	0	0	0	0	0	3
3	3	0	0.0564923072	2.03152508	2.02954911	2.02712519	2.03152508	0.00242391058	0	0	0	0	0	3
4	4	0	0.0753230763	2.03001737	2.02966617	2.02712519	2.03152508	0.00254097579	0	0	0	0	0	3
5	4	0	0.0941538454	2.03229847	2.03019263	2.02712519	2.03229847	0.00306743598	0	0	0	0	0	3
6	5	0	0.112984614	2.037467	2.03140503	2.02712519	2.037467	0.00427983081	0	0	0	0	0	3
7	5	0	0.131815384	2.03993487	2.03262357	2.02712519	2.03993487	0.00549837966	0	0	0	0	0	3
8	6	0	0.150646153	2.04217832	2.03381792	2.02712519	2.04217832	0.00669272244	0	0	0	0	0	3
9	6	0	0.169476922	2.04061153	2.03457276	2.02712519	2.04217832	0.00744756812	0	0	0	0	0	3
10	7	0	0.188307691	2.04441098	2.03555658	2.02712519	2.04441098	0.00843138987	0	0	0	0	0	3
11	7	0	0.20713846	2.0533904	2.03717784	2.02712519	2.0533904	0.0100526457	0	0	0	0	0	3
12	8	0	0.225969229	2.05232863	2.03844041	2.02712519	2.0533904	0.0113152119	0	0	0	0	0	3
13	9	0	0.244799998	2.04850291	2.03921445	2.02712519	2.0533904	0.0120892508	0	0	0	0	0	3
14	9	0	0.263630767	2.04985603	2.03997456	2.02712519	2.0533904	0.0128493643	0	0	0	0	0	3
15	10	0	0.282461536	2.05243597	2.04080532	2.02712519	2.0533904	0.0136801251	0	0	0	0	0	3
16	11	0	0.301292305	2.05055496	2.04141467	2.02712519	2.0533904	0.0142894779	0	0	0	0	0	3
17	12	0	0.320123074	2.04705953	2.04174672	2.02712519	2.0533904	0.0146215281	0	0	0	0	0	3
18	12	0	0.338953843	2.04671224	2.04202259	2.02712519	2.0533904	0.0148973902	0	0	0	0	0	3
19	13	0	0.357784612	2.0441907	2.0421367	2.02712519	2.0533904	0.0150115016	0	0	0	0	0	3
20	13	0	0.376615382	2.0455613	2.04230793	2.02712519	2.0533904	0.0151827319	0	0	0	0	0	3
21	14	0	0.395446151	2.04669196	2.04251669	2.02712519	2.0533904	0.0153914953	0	0	0	0	0	3
22	14	0	0.41427692	2.04806788	2.04276902	2.02712519	2.0533904	0.0156438221	0	0	0	0	0	3
23	15	0	0.433107689	2.05229354	2.04318313	2.02712519	2.0533904	0.0160579317	0	0	0	0	0	3
24	15	0	0.451938458	2.05315715	2.04359871	2.02712519	2.0533904	0.0164735162	0	0	0	0	0	3
25	16	0	0.470769227	2.05556065	2.04407719	2.02712519	2.05556065	0.0169519938	0	0	0	0	0	3
26	16	0	0.489599996	2.06180405	2.04475899	2.02712519	2.06180405	0.0176337964	0	0	0	0	0	3
27	17	0	0.508430765	2.06152283	2.04537987	2.02712519	2.06180405	0.0182546793	0	0	0	0	0	3
28	18	0	0.527261534	2.06651548	2.04683877	2.02999704	2.06651548	0.0182776539	0	0	0	0	0	3
29	18	0	0.546092303	2.06317978	2.04806776	2.03001737	2.06651548	0.0185186585	0	0	0	0	0	3
30	19	0	0.564923072	2.0617768	2.0491882	2.03001737	2.06651548	0.0195220275	0	0	0	0	0	3
31	19	0	0.583753841	2.06579633	2.05051335	2.03229847	2.06651548	0.0203207142	0	0	0	0	0	3
32	20	0	0.60258461	2.05842199	2.05148088	2.037467	2.06651548	0.0200758572	0	0	0	0	0	3
33	21	0	0.62141538	2.05740209	2.05221922	2.03993487	2.06651548	0.0195956451	0	0	0	0	0	3
34	21	0	0.640246149	2.0514141	2.05264438	2.04061153	2.06651548	0.0188264589	0	0	0	0	0	3
35	22	0	0.659076918	2.04771948	2.0528496	2.04061153	2.06651548	0.0182768415	0	0	0	0	0	3
36	22	0	0.677907687	2.04682783	2.05307984	2.0441907	2.06651548	0.0175232529	0	0	0	0	0	3
37	23	0	0.696738456	2.04376516	2.05305592	2.04376516	2.06651548	0.0159019971	0	0	0	0	0	3
38	24	0	0.715569225	2.03844021	2.05250221	2.03844021	2.06651548	0.0146394309	0	0	0	0	0	3
39	24	0	0.734399994	2.03154452	2.05173243	2.03154452	2.06651548	0.013865392	0	0	0	0	0	3
40	25	0	0.753230763	2.03150359	2.05110282	2.03150359	2.06651548	0.0131052785	0	0	0	0	0	3
41	25	0	0.772061532	2.02974956	2.05035814	2.02974956	2.06651548	0.0122745177	0	0	0	0	0	3
42	26	0	0.790892301	2.03001005	2.04952755	2.02974956	2.06651548	0.0116651649	0	0	0	0	0	3
43	26	0	0.80972307	2.0307351	2.04879348	2.02974956	2.06651548	0.0113331147	0	0	0	0	0	3
44	27	0	0.828553839	2.02762969	2.04807386	2.02762969	2.06651548	0.0110572526	0	0	0	0	0	3
45	28	0	0.847384608	2.02996306	2.04745352	2.02762969	2.06651548	0.0109431412	0	0	0	0	0	3
46	28	0	0.866215378	2.02952739	2.04691043	2.02762969	2.06651548	0.0107719109	0	0	0	0	0	3
47	29	0	0.885046147	2.03140742	2.04638621	2.02762969	2.06651548	0.0105631475	0	0	0	0	0	3
