Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0188307691	-7.43692474	-7.43692474	-7.43692474	-7.43692474	0	0	0	0	0	0	3
2	3	0	0.0376615382	-7.42952745	-7.4332261	-7.43692474	-7.42952745	0.00369864211	0	0	0	0	0	3
3	3	0	0.0564923072	-7.45479325	-7.44041515	-7.45479325	-7.42952745	0.00718905089	0	0	0	0	0	3
4	4	0	0.0753230763	-7.4514555	-7.44317524	-7.45479325	-7.42952745	0.00994913956	0	0	0	0	0	3
5	4	0	0.0941538454	-7.45865763	-7.44627172	-7.45865763	-7.42952745	0.0130456188	0	0	0	0	0	3
6	5	0	0.112984614	-7.45720649	-7.44809418	-7.45865763	-7.42952745	0.0148680817	0	0	0	0	0	3
7	5	0	0.131815384	-7.46270683	-7.4501817	-7.46270683	-7.42952745	0.0169556028	0	0	0	0	0	3
8	6	0	0.150646153	-7.46343717	-7.45183863	-7.46343717	-7.42952745	0.0186125369	0	0	0	0	0	3
9	6	0	0.169476922	-7.46186021	-7.45295214	-7.46343717	-7.42952745	0.019726045	0	0	0	0	0	3
10	7	0	0.188307691	-7.46115933	-7.45377286	-7.46343717	-7.42952745	0.0205467637	0	0	0	0	0	3
11	7	0	0.20713846	-7.46203141	-7.45452364	-7.46343717	-7.42952745	0.0212975406	0	0	0	0	0	3
12	8	0	0.225969229	-7.46315033	-7.45524253	-7.46343717	-7.42952745	0.0220164319	0	0	0	0	0	3
13	9	0	0.244799998	-7.46478354	-7.45597645	-7.46478354	-7.42952745	0.0227503562	0	0	0	0	0	3
14	9	0	0.263630767	-7.46042975	-7.45629455	-7.46478354	-7.42952745	0.0230684491	0	0	0	0	0	3
15	10	0	0.282461536	-7.4585994	-7.4564482	-7.46478354	-7.42952745	0.023222106	0	0	0	0	0	3
16	11	0	0.301292305	-7.45962627	-7.45664683	-7.46478354	-7.42952745	0.0234207355	0	0	0	0	0	3
17	12	0	0.320123074	-7.45742673	-7.45669271	-7.46478354	-7.42952745	0.023466612	0	0	0	0	0	3
18	12	0	0.338953843	-7.45941283	-7.45684383	-7.46478354	-7.42952745	0.0236177299	0	0	0	0	0	3
19	13	0	0.357784612	-7.45883175	-7.45694845	-7.46478354	-7.42952745	0.0237223574	0	0	0	0	0	3
20	13	0	0.376615382	-7.45843559	-7.45702281	-7.46478354	-7.42952745	0.0237967144	0	0	0	0	0	3
21	14	0	0.395446151	-7.4579523	-7.45706707	-7.46478354	-7.42952745	0.0238409756	0	0	0	0	0	3
22	14	0	0.41427692	-7.45790618	-7.45710521	-7.46478354	-7.42952745	0.023879117	0	0	0	0	0	3
23	15	0	0.433107689	-7.46329201	-7.4573742	-7.46478354	-7.42952745	0.0241481082	0	0	0	0	0	3
24	15	0	0.451938458	-7.46484195	-7.45768536	-7.46484195	-7.42952745	0.0244592643	0	0	0	0	0	3
25	16	0	0.470769227	-7.46596099	-7.45801639	-7.46596099	-7.42952745	0.0247902896	0	0	0	0	0	3
26	16	0	0.489599996	-7.46228995	-7.45818075	-7.46596099	-7.42952745	0.0249546576	0	0	0	0	0	3
27	17	0	0.508430765	-7.45630708	-7.45811136	-7.46596099	-7.42952745	0.0249546576	0	0	0	0	0	3
28	18	0	0.527261534	-7.45362329	-7.45872982	-7.46596099	-7.42952745	0.025503727	0	0	0	0	0	3
29	18	0	0.546092303	-7.45006751	-7.45949057	-7.46596099	-7.45006751	0.015893483	0	0	0	0	0	3
30	19	0	0.564923072	-7.4443269	-7.45910292	-7.46596099	-7.4443269	0.0163153302	0	0	0	0	0	3
31	19	0	0.583753841	-7.4423623	-7.45876614	-7.46596099	-7.4423623	0.0132188511	0	0	0	0	0	3
32	20	0	0.60258461	-7.43830201	-7.45801223	-7.46596099	-7.43830201	0.0113963881	0	0	0	0	0	3
33	21	0	0.62141538	-7.4375587	-7.45728453	-7.46596099	-7.4375587	0.00930886703	0	0	0	0	0	3
34	21	0	0.640246149	-7.43420043	-7.45622874	-7.46596099	-7.43420043	0.00765193295	0	0	0	0	0	3
35	22	0	0.659076918	-7.43447387	-7.45515602	-7.46596099	-7.43420043	0.00653842478	0	0	0	0	0	3
36	22	0	0.677907687	-7.43321047	-7.45409492	-7.46596099	-7.43321047	0.00571770608	0	0	0	0	0	3
37	23	0	0.696738456	-7.43331311	-7.45306358	-7.46596099	-7.43321047	0.0064269855	0	0	0	0	0	3
38	24	0	0.715569225	-7.43189568	-7.45194744	-7.46596099	-7.43189568	0.0075431236	0	0	0	0	0	3
39	24	0	0.734399994	-7.4315375	-7.4507766	-7.46596099	-7.4315375	0.00871396924	0	0	0	0	0	3
40	25	0	0.753230763	-7.42748042	-7.449395	-7.46596099	-7.42748042	0.0100955665	0	0	0	0	0	3
41	25	0	0.772061532	-7.42745382	-7.44817367	-7.46596099	-7.42745382	0.0113168974	0	0	0	0	0	3
42	26	0	0.790892301	-7.42914302	-7.44708269	-7.46596099	-7.42745382	0.0124078745	0	0	0	0	0	3
43	26	0	0.80972307	-7.42932587	-7.44596045	-7.46596099	-7.42745382	0.0135301115	0	0	0	0	0	3
44	27	0	0.828553839	-7.42859925	-7.44489277	-7.46596099	-7.42745382	0.0145977962	0	0	0	0	0	3
45	28	0	0.847384608	-7.43097599	-7.44383955	-7.46596099	-7.42745382	0.0156510125	0	0	0	0	0	3
46	28	0	0.866215378	-7.43318683	-7.44288974	-7.46596099	-7.42745382	0.0166008244	0	0	0	0	0	3
47	29	0	0.885046147	-7.43227085	-7.44192068	-7.46596099	-7.42745382	0.017569889	0	0	0	0	0	3
48	29	0	0.903876916	-7.43679771	-7.44113717	-7.46596099	-7.42745382	0.0183533921	0	0	0	0	0	3
49	30	0	0.922707685	-7.43274995	-7.44020546	-7.46596099	-7.42745382	0.0192851042	0	0	0	0	0	3
50	31	0	0.941538454	-7.43393089	-7.43911801	-7.46596099	-7.42745382	0.0203725531	0	0	0	0	0	3
51	31	0	0.960369223	-7.43500927	-7.4380131	-7.46596099	-7.42745382	0.0214774672	0	0	0	0	0	3
52	32	0	0.979199992	-7.43182639	-7.43674885	-7.46228995	-7.42745382	0.0227417118	0	0	0	0	0	3
53	32	0	0.998030761	-7.43184473	-7.43562125	-7.45630708	-7.42745382	0.0238693126	0	0	0	0	0	3
54	33	0	1.01686153	-7.43470045	-7.43482101	-7.45362329	-7.42745382	0.024669558	0.00115521521	4.6	0	0	0	3
55	34	0	1.0356923	-7.42975336	-7.43393694	-7.45006751	-7.42745382	0.0226136905	0.00115521521	5.1	0	0	0	3
56	34	0	1.05452307	-7.43178492	-7.4332598	-7.4443269	-7.42745382	0.0168730814	0.00115521521	6.8	0	0	0	3
57	35	0	1.07335384	-7.43358837	-7.43286208	-7.4423623	-7.42745382	0.0149084819	0.00115521521	7.7	0	0	0	3
58	35	0	1.09218461	-7.43028746	-7.43241486	-7.43830201	-7.42745382	0.0108481897	0.00115521521	10.6	0	0	0	3
59	36	0	1.11101538	-7.4324232	-7.43219713	-7.4375587	-7.42745382	0.0101048811	0.00115521521	11.4	0	0	0	3
60	36	0	1.12984614	-7.43220739	-7.43199893	-7.43679771	-7.42745382	0.00934389361	0.00115521521	12.3	0	0	0	3
61	37	0	1.14867691	-7.4306843	-7.43186871	-7.43679771	-7.42745382	0.00934389361	0.00115521521	12.3	0	0	0	3
62	38	0	1.16750768	-7.42952608	-7.43168545	-7.43679771	-7.42745382	0.00934389361	0.00115521521	12.3	0	0	0	3
63	38	0	1.18633845	-7.43454448	-7.43173486	-7.43679771	-7.42745382	0.00934389361	0.00115521521	12.3	0	0	0	3
64	39	0	1.20516922	-7.43236155	-7.43169962	-7.43679771	-7.42745382	0.00934389361	0.00115521521	12.3	0	0	0	3
65	39	0	1.22399999	-7.43073931	-7.43165679	-7.43679771	-7.42745382	0.00934389361	0.00115521521	12.3	0	0	0	3
66	40	0	1.24283076	-7.4291296	-7.43156761	-7.43679771	-7.42745382	0.00934389361	0.00115521521	12.3	0	0	0	3
67	41	0	1.26166153	-7.43307114	-7.43177467	-7.43679771	-7.42745382	0.00934389361	0.00115521521	12.3	0	0	0	3
68	41	0	1.2804923	-7.4339967	-7.432017	-7.43679771	-7.42859925	0.00819846669	0.00115521521	14	0	0	0	3
69	42	0	1.29932307	-7.43130223	-7.43209697	-7.43679771	-7.42859925	0.00819846669	0.00115521521	14	0	0	0	3
70	43	0	1.31815384	-7.43255961	-7.43221674	-7.43679771	-7.42859925	0.00819846669	0.00115521521	14	0	0	0	3
71	43	0	1.3369846	-7.42906066	-7.43223383	-7.43679771	-7.42906066	0.00773705574	0.00115521521	14.9	0	0	0	3
72	44	0	1.35581537	-7.43169229	-7.43226036	-7.43679771	-7.42906066	0.00773705574	0.00115521521	14.9	0	0	0	3
73	44	0	1.37464614	-7.42847649	-7.4320859	-7.43679771	-7.42847649	0.00832122478	0.00115521521	13.8	0	0	0	3
74	45	0	1.39347691	-7.43146195	-7.43205594	-7.43679771	-7.42847649	0.00832122478	0.00115521521	13.8	0	0	0	3
75	46	0	1.41230768	-7.42528007	-7.43162936	-7.43500927	-7.42528007	0.00863785207	0.00115832056	13.4	0	0	0	3
76	46	0	1.43113845	-7.4288348	-7.43148436	-7.43500927	-7.42528007	0.00763365392	0.00116114361	15.2	0	0	0	3
77	47	0	1.44996922	-7.43026369	-7.43134854	-7.43500927	-7.42528007	0.00666456213	0.00116372118	17.4	0	0	0	3
78	48	0	1.46879999	-7.42508678	-7.43098104	-7.43470045	-7.42508678	0.00576781729	0.00116632557	20.2	0	0	0	3
79	48	0	1.48763076	-7.42774981	-7.43083005	-7.43470045	-7.42508678	0.00479120089	0.00116431636	24.3	0	0	0	3
80	49	0	1.50646153	-7.42969097	-7.43075028	-7.43470045	-7.42508678	0.00407072465	0.00115555838	28.3	0	0	0	3
81	49	0	1.5252923	-7.42497572	-7.43039011	-7.43454448	-7.42497572	0.00354682883	0.00115521521	32.5	0	0	0	3
82	50	0	1.54412306	-7.42769325	-7.43031381	-7.43454448	-7.42497572	0.00294599639	0.00115521521	39.2	0	0	0	3
83	50	0	1.56295383	-7.42742738	-7.43015242	-7.43454448	-7.42497572	0.00270966347	0.00115521521	42.6	0	0	0	3
84	51	0	1.5817846	-7.4276794	-7.42993357	-7.43454448	-7.42497572	0.0024812976	0.00115521521	46.5	0	0	0	3
85	52	0	1.60061537	-7.42633277	-7.4297871	-7.43454448	-7.42497572	0.00247326376	0.00115521521	46.7	0	0	0	3
86	52	0	1.61944614	-7.42919277	-7.42966745	-7.43454448	-7.42497572	0.00259290948	0.00115521521	44.5	0	0	0	3
87	53	0	1.63827691	-7.42691595	-7.42947147	-7.43454448	-7.42497572	0.00278888869	0.00115521521	41.4	0	0	0	3
88	53	0	1.65710768	-7.42620887	-7.42930572	-7.43454448	-7.42497572	0.00295464515	0.00115521521	39	0	0	0	3
89	54	0	1.67593845	-7.42197497	-7.42902604	-7.43454448	-7.42197497	0.00323431583	0.00115521521	35.7	0	0	0	3
90	54	0	1.69476922	-7.42997085	-7.42885665	-7.4339967	-7.42197497	0.0034037095	0.00115521521	33.9	0	0	0	3
91	55	0	1.71359999	-7.42178702	-7.428465	-7.4339967	-7.42178702	0.00379535869	0.00115521521	30.4	0	0	0	3
92	55	0	1.73243076	-7.42549978	-7.42827094	-7.4339967	-7.42178702	0.00398941567	0.00115521521	28.9	0	0	0	3
93	56	0	1.75126152	-7.42576893	-7.42814648	-7.4339967	-7.42178702	0.004113885	0.00115521521	28	0	0	0	3
94	57	0	1.77009229	-7.42761158	-7.42794427	-7.4339967	-7.42178702	0.00431609093	0.00115521521	26.7	0	0	0	3
95	57	0	1.78892306	-7.4268772	-7.42768058	-7.43255961	-7.42178702	0.00457977609	0.00115521521	25.2	0	0	0	3
96	58	0	1.80775383	-7.42178032	-7.42732792	-7.43255961	-7.42178032	0.00493243966	0.00115521521	23.4	0	0	0	3
97	58	0	1.8265846	-7.42436343	-7.42702436	-7.43169229	-7.42178032	0.00523600159	0.00115521521	22	0	0	0	3
98	59	0	1.84541537	-7.42388678	-7.42683273	-7.43169229	-7.42178032	0.00542762669	0.00115521521	21.2	0	0	0	3
99	60	0	1.86424614	-7.42379115	-7.4265401	-7.43146195	-7.42178032	0.00554580443	0.00115521521	20.8	0	0	0	3
100	60	0	1.88307691	-7.42511998	-7.42641578	-7.43146195	-7.42178032	0.00564016013	0.00115521521	20.4	0	0	0	3
101	61	0	1.90190768	-7.4234749	-7.42611997	-7.43026369	-7.42178032	0.00550939739	0.00115521521	20.9	0	0	0	3
102	62	0	1.92073845	-7.42036005	-7.42593774	-7.43026369	-7.42036005	0.00554661454	0.00115521521	20.8	0	0	0	3
103	62	0	1.93956921	-7.42779857	-7.42589937	-7.43026369	-7.42036005	0.00544917128	0.00115521521	21.1	0	0	0	3
104	63	0	1.95839998	-7.42351869	-7.42564955	-7.42997085	-7.42036005	0.00533148629	0.00115521521	21.6	0	0	0	3
105	63	0	1.97723075	-7.41780937	-7.42538002	-7.42997085	-7.41780937	0.00545003555	0.00115521521	21.1	0	0	0	3
106	64	0	1.99606152	-7.42522075	-7.42528635	-7.42997085	-7.41780937	0.00546393518	0.00115521521	21.1	0	0	0	3
107	65	0	2.01489229	-7.42129363	-7.42497534	-7.42997085	-7.41780937	0.00541477231	0.00115521521	21.3	0	0	0	3
108	65	0	2.03372306	-7.41700208	-7.42468002	-7.42997085	-7.41700208	0.00563379154	0.00115521521	20.5	0	0	0	3
109	66	0	2.05255383	-7.42337243	-7.42451999	-7.42997085	-7.41700208	0.00563243119	0.00115521521	20.5	0	0	0	3
110	66	0	2.0713846	-7.42270663	-7.42434514	-7.42997085	-7.41700208	0.00558842313	0.00115521521	20.6	0	0	0	3
111	67	0	2.09021537	-7.41857172	-7.42400782	-7.42997085	-7.41700208	0.00577927472	0.00115521521	19.9	0	0	0	3
112	68	0	2.10904614	-7.41632375	-7.42363712	-7.42997085	-7.41632375	0.00603033358	0.00115521521	19.1	0	0	0	3
113	68	0	2.12787691	-7.42263807	-7.42339435	-7.42997085	-7.41632375	0.00607712089	0.00115521521	19	0	0	0	3
114	69	0	2.14670767	-7.41805714	-7.42306625	-7.42997085	-7.41632375	0.00623946858	0.00115521521	18.5	0	0	0	3
115	69	0	2.16553844	-7.41973133	-7.42282634	-7.42997085	-7.41632375	0.00619970673	0.00115521521	18.6	0	0	0	3
116	70	0	2.18436921	-7.42261971	-7.42285022	-7.42997085	-7.41632375	0.00603031306	0.00115521521	19.1	0	0	0	3
