Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0188307691	-3.10476186	-3.10476186	-3.10476186	-3.10476186	0	0	0	0	0	0	3
2	3	0	0.0376615382	-3.10774433	-3.1062531	-3.10774433	-3.10476186	0.00149123534	0	0	0	0	0	3
3	3	0	0.0564923072	-3.11364919	-3.10871846	-3.11364919	-3.10476186	0.00395659955	0	0	0	0	0	3
4	4	0	0.0753230763	-3.1157267	-3.11047052	-3.1157267	-3.10476186	0.00570865953	0	0	0	0	0	3
5	4	0	0.0941538454	-3.11749119	-3.11187466	-3.11749119	-3.10476186	0.00711279348	0	0	0	0	0	3
6	5	0	0.112984614	-3.11745773	-3.11280517	-3.11749119	-3.10476186	0.00804330635	0	0	0	0	0	3
7	5	0	0.131815384	-3.1199979	-3.1138327	-3.1199979	-3.10476186	0.00907083948	0	0	0	0	0	3
8	6	0	0.150646153	-3.12613842	-3.11537092	-3.12613842	-3.10476186	0.0106090541	0	0	0	0	0	3
9	6	0	0.169476922	-3.12732977	-3.11669968	-3.12732977	-3.10476186	0.011937816	0	0	0	0	0	3
10	7	0	0.188307691	-3.12883019	-3.11791273	-3.12883019	-3.10476186	0.0131508668	0	0	0	0	0	3
11	7	0	0.20713846	-3.13609078	-3.11956528	-3.13609078	-3.10476186	0.0148034164	0	0	0	0	0	3
12	8	0	0.225969229	-3.13841446	-3.12113604	-3.13841446	-3.10476186	0.0163741812	0	0	0	0	0	3
13	9	0	0.244799998	-3.14344508	-3.12285212	-3.14344508	-3.10476186	0.018090261	0	0	0	0	0	3
14	9	0	0.263630767	-3.14143184	-3.12417925	-3.14344508	-3.10476186	0.0194173833	0	0	0	0	0	3
15	10	0	0.282461536	-3.13725749	-3.12505113	-3.14344508	-3.10476186	0.0202892659	0	0	0	0	0	3
16	11	0	0.301292305	-3.13214519	-3.12549451	-3.14344508	-3.10476186	0.0207326445	0	0	0	0	0	3
17	12	0	0.320123074	-3.13350532	-3.12596573	-3.14344508	-3.10476186	0.0212038685	0	0	0	0	0	3
18	12	0	0.338953843	-3.13877627	-3.12667743	-3.14344508	-3.10476186	0.0219155654	0	0	0	0	0	3
