Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.018758565	4.68776363	4.68776363	4.68776363	4.68776363	0	0	0	158.814	0	0	3
2	2	0	0.03751713	4.68131534	4.68453949	4.68131534	4.68776363	0.0032241469	0	0	150.639	0	0	3
3	3	0	0.056275695	4.68410957	4.68439618	4.68131534	4.68776363	0.00336745238	0	0	141.516	0	0	3
4	3	0	0.07503426	4.70591372	4.68977557	4.68131534	4.70591372	0.0053793849	0	0	137.835	0	0	3
5	4	0	0.093792825	4.73033737	4.69788793	4.68131534	4.73033737	0.0134917454	0	0	132.002	0	0	3
6	4	0	0.11255139	4.78335964	4.71213321	4.68131534	4.78335964	0.0277370314	0	0	126.567	0	0	3
7	5	0	0.131309955	4.83803158	4.73011869	4.68131534	4.83803158	0.0457225132	0	0	125.441	0	0	3
8	5	0	0.15006852	4.89342481	4.75053196	4.68131534	4.89342481	0.0661357773	0	0	125.122	0	0	3
9	6	0	0.168827085	4.96260749	4.77409591	4.68131534	4.96260749	0.0896997254	0	0	123.984	0	0	3
10	6	0	0.18758565	5.02784971	4.79947129	4.68131534	5.02784971	0.115075106	0	0	123.002	0	0	3
11	7	0	0.206344215	5.14118083	4.83053579	4.68131534	5.14118083	0.14613961	0	0	123.999	0	0	3
12	8	0	0.22510278	5.2443312	4.86501874	4.68131534	5.2443312	0.18062256	0	0	126.08	0	0	3
13	8	0	0.243861345	5.35682794	4.90285022	4.68131534	5.35682794	0.218454037	0	0	128.346	0	0	3
14	9	0	0.26261991	5.46173413	4.9427705	4.68131534	5.46173413	0.258374316	0	0	130.212	0	0	3
15	9	0	0.281378475	5.56640478	4.98434612	4.68131534	5.56640478	0.299949935	0	0	131.825	0	0	3
16	10	0	0.30013704	5.71058588	5.0297361	4.68131534	5.71058588	0.345339921	0	0	133.734	0	0	3
17	10	0	0.318895605	5.8536669	5.07820262	4.68131534	5.8536669	0.393806438	0	0	135.098	0	0	3
18	11	0	0.33765417	5.98701637	5.12869227	4.68131534	5.98701637	0.444296091	0	0	136.049	0	0	3
19	11	0	0.356412735	6.10728978	5.1801974	4.68131534	6.10728978	0.495801224	0	0	136.838	0	0	3
20	12	0	0.3751713	6.22628231	5.23250165	4.68131534	6.22628231	0.548105469	0	0	137.482	0	0	3
21	12	0	0.393929865	6.37300245	5.28681121	4.68131534	6.37300245	0.602415031	0	0	138.111	0	0	3
22	13	0	0.41268843	6.50596625	5.34222735	4.68131534	6.50596625	0.657831169	0	0	138.429	0	0	3
23	13	0	0.431446995	6.6153992	5.39758265	4.68131534	6.6153992	0.713186467	0	0	138.491	0	0	3
24	14	0	0.45020556	6.7089715	5.45222385	4.68131534	6.7089715	0.767827669	0	0	138.393	0	0	3
25	14	0	0.468964125	6.79377527	5.50588591	4.68131534	6.79377527	0.821489726	0	0	138.205	0	0	3
26	15	0	0.48772269	6.90143517	5.55956088	4.68131534	6.90143517	0.875164698	0	0	137.955	0	0	3
27	15	0	0.506481255	6.9955281	5.61274485	4.68131534	6.9955281	0.928348669	0	0	137.745	0	0	3
