Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0188307691	0.0021604375	0.0021604375	0.0021604375	0.0021604375	0	0	0	0	0	0	3
2	3	0	0.0376615382	-0.0310250346	-0.0144322986	-0.0310250346	0.0021604375	0.0165927361	0	0	0	0	0	3
3	3	0	0.0564923072	-0.0442812227	-0.02438194	-0.0442812227	0.0021604375	0.0265423775	0	0	0	0	0	3
4	4	0	0.0753230763	-0.0169807763	-0.022531649	-0.0442812227	0.0021604375	0.0265423775	0	0	0	0	0	3
5	4	0	0.0941538454	0.047584906	-0.00850833803	-0.0442812227	0.047584906	0.0265423775	0	0	0	0	0	3
6	5	0	0.112984614	0.0963006293	0.00895982319	-0.0442812227	0.0963006293	0.0333417631	0	0	0	0	0	3
7	5	0	0.131815384	0.141295161	0.0278648714	-0.0442812227	0.141295161	0.0522468114	0	0	0	0	0	3
8	6	0	0.150646153	0.138467781	0.0416902351	-0.0442812227	0.141295161	0.066072175	0	0	0	0	0	3
9	6	0	0.169476922	0.147029946	0.0533946475	-0.0442812227	0.147029946	0.0777765874	0	0	0	0	0	3
10	7	0	0.188307691	0.144286996	0.0624838823	-0.0442812227	0.147029946	0.0868658223	0	0	0	0	0	3
11	7	0	0.20713846	0.126708833	0.0683225143	-0.0442812227	0.147029946	0.0927044542	0	0	0	0	0	3
12	8	0	0.225969229	-0.0897628483	0.055148734	-0.0897628483	0.147029946	0.0927044542	0	0	0	0	0	3
13	9	0	0.244799998	-0.0558159966	0.0466129855	-0.0897628483	0.147029946	0.0927044542	0	0	0	0	0	3
14	9	0	0.263630767	-0.00331442179	0.0430467422	-0.0897628483	0.147029946	0.0927044542	0	0	0	0	0	3
15	10	0	0.282461536	-0.0083991957	0.039617013	-0.0897628483	0.147029946	0.0927044542	0	0	0	0	0	3
16	11	0	0.301292305	-0.0133938029	0.036303837	-0.0897628483	0.147029946	0.0927044542	0	0	0	0	0	3
17	12	0	0.320123074	-0.0101214622	0.033572937	-0.0897628483	0.147029946	0.0927044542	0	0	0	0	0	3
18	12	0	0.338953843	-0.0054341501	0.0314058766	-0.0897628483	0.147029946	0.0927044542	0	0	0	0	0	3
19	13	0	0.357784612	-0.00214684106	0.0296399441	-0.0897628483	0.147029946	0.0927044542	0	0	0	0	0	3
20	13	0	0.376615382	-0.0103712604	0.0276393839	-0.0897628483	0.147029946	0.0927044542	0	0	0	0	0	3
21	14	0	0.395446151	-0.0234567936	0.0252062326	-0.0897628483	0.147029946	0.0927044542	0	0	0	0	0	3
22	14	0	0.41427692	-0.0300897154	0.0226927804	-0.0897628483	0.147029946	0.0927044542	0	0	0	0	0	3
23	15	0	0.433107689	-0.0273252772	0.0205180822	-0.0897628483	0.147029946	0.0927044542	0	0	0	0	0	3
