Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0188307691	3.12910135e-005	3.12910135e-005	3.12910135e-005	3.12910135e-005	0	0	0	0	0	0	3
2	3	0	0.0376615382	-2.06460633e-005	5.32247508e-006	-2.06460633e-005	3.12910135e-005	2.59685384e-005	0	0	0	0	0	3
3	3	0	0.0564923072	2.07419864e-005	1.04623122e-005	-2.06460633e-005	3.12910135e-005	2.59685384e-005	0	0	0	0	0	3
4	4	0	0.0753230763	-1.85309478e-005	3.21399718e-006	-2.06460633e-005	3.12910135e-005	2.80770163e-005	0	0	0	0	0	3
5	4	0	0.0941538454	4.85302137e-006	3.54180202e-006	-2.06460633e-005	3.12910135e-005	2.80770163e-005	0	0	0	0	0	3
6	5	0	0.112984614	-1.10940599e-005	1.10249169e-006	-2.06460633e-005	3.12910135e-005	3.01885218e-005	0	0	0	0	0	3
7	5	0	0.131815384	3.04131891e-006	1.37946701e-006	-2.06460633e-005	3.12910135e-005	3.01885218e-005	0	0	0	0	0	3
8	6	0	0.150646153	1.34292069e-006	1.37489872e-006	-2.06460633e-005	3.12910135e-005	3.01885218e-005	0	0	0	0	0	3
9	6	0	0.169476922	3.27261146e-006	1.58575569e-006	-2.06460633e-005	3.12910135e-005	3.01885218e-005	0	0	0	0	0	3
10	7	0	0.188307691	1.01696294e-005	2.44414306e-006	-2.06460633e-005	3.12910135e-005	3.01885218e-005	0	0	0	0	0	3
11	7	0	0.20713846	7.09117511e-006	2.86660052e-006	-2.06460633e-005	3.12910135e-005	3.01885218e-005	0	0	0	0	0	3
12	8	0	0.225969229	7.9138769e-006	3.28720689e-006	-2.06460633e-005	3.12910135e-005	3.01885218e-005	0	0	0	0	0	3
13	9	0	0.244799998	3.27359785e-006	3.28616004e-006	-2.06460633e-005	3.12910135e-005	3.01885218e-005	0	0	0	0	0	3
14	9	0	0.263630767	2.95674729e-006	3.26263055e-006	-2.06460633e-005	3.12910135e-005	3.01885218e-005	0	0	0	0	0	3
15	10	0	0.282461536	-1.28946986e-006	2.95915719e-006	-2.06460633e-005	3.12910135e-005	3.01885218e-005	0	0	0	0	0	3
16	11	0	0.301292305	1.53114343e-006	2.86990633e-006	-2.06460633e-005	3.12910135e-005	3.01885218e-005	0	0	0	0	0	3
17	12	0	0.320123074	-5.40568592e-007	2.66929016e-006	-2.06460633e-005	3.12910135e-005	3.01885218e-005	0	0	0	0	0	3
18	12	0	0.338953843	-1.86832487e-006	2.41720044e-006	-2.06460633e-005	3.12910135e-005	3.01885218e-005	0	0	0	0	0	3
19	13	0	0.357784612	-2.9502765e-006	2.13470165e-006	-2.06460633e-005	3.12910135e-005	3.01885218e-005	0	0	0	0	0	3
20	13	0	0.376615382	-1.34668669e-006	1.96063223e-006	-2.06460633e-005	3.12910135e-005	3.01885218e-005	0	0	0	0	0	3
21	14	0	0.395446151	-1.00945855e-006	1.81919934e-006	-2.06460633e-005	3.12910135e-005	3.01885218e-005	0	0	0	0	0	3
22	14	0	0.41427692	2.13695534e-006	1.83364279e-006	-2.06460633e-005	3.12910135e-005	3.01885218e-005	0	0	0	0	0	3
23	15	0	0.433107689	5.22766625e-007	1.77664818e-006	-2.06460633e-005	3.12910135e-005	3.01885218e-005	0	0	0	0	0	3
24	15	0	0.451938458	5.88758555e-006	1.94793724e-006	-2.06460633e-005	3.12910135e-005	3.01885218e-005	0	0	0	0	0	3
25	16	0	0.470769227	-1.01798869e-007	1.86594779e-006	-2.06460633e-005	3.12910135e-005	3.01885218e-005	0	0	0	0	0	3
26	16	0	0.489599996	3.03463879e-006	1.91089745e-006	-2.06460633e-005	3.12910135e-005	3.01885218e-005	0	0	0	0	0	3
27	17	0	0.508430765	4.41701913e-006	2.00371677e-006	-2.06460633e-005	3.12910135e-005	3.01885218e-005	0	0	0	0	0	3
28	18	0	0.527261534	9.05189643e-006	1.18004577e-006	-2.06460633e-005	2.07419864e-005	9.35982049e-006	0	0	0	0	0	3
29	18	0	0.546092303	3.97707456e-006	2.09201383e-006	-1.85309478e-005	2.07419864e-005	9.35982049e-006	0	0	0	0	0	3
30	19	0	0.564923072	8.00194146e-006	1.62016032e-006	-1.85309478e-005	1.01696294e-005	2.43931032e-006	0	0	0	0	0	3
31	19	0	0.583753841	1.38699172e-005	2.82019236e-006	-1.10940599e-005	1.38699172e-005	2.43931032e-006	0	0	0	0	0	3
32	20	0	0.60258461	1.31928085e-005	3.12907336e-006	-1.10940599e-005	1.38699172e-005	2.18471519e-006	0	0	0	0	0	3
33	21	0	0.62141538	1.59894228e-005	4.13216531e-006	-2.9502765e-006	1.59894228e-005	2.95211955e-006	0	0	0	0	0	3
34	21	0	0.640246149	2.57999181e-005	4.97507639e-006	-2.9502765e-006	2.57999181e-005	3.79503063e-006	0	0	0	0	0	3
35	22	0	0.659076918	2.55019577e-005	5.86985554e-006	-2.9502765e-006	2.57999181e-005	4.68980977e-006	0	0	0	0	0	3
36	22	0	0.677907687	2.54938572e-005	6.69286464e-006	-2.9502765e-006	2.57999181e-005	5.51281888e-006	0	0	0	0	0	3
37	23	0	0.696738456	4.66814436e-005	8.04515406e-006	-2.9502765e-006	4.66814436e-005	6.86510829e-006	0	0	0	0	0	3
38	24	0	0.715569225	3.19891383e-005	8.96730084e-006	-2.9502765e-006	4.66814436e-005	7.78725508e-006	0	0	0	0	0	3
39	24	0	0.734399994	4.64173921e-005	1.0393357e-005	-2.9502765e-006	4.66814436e-005	9.2133112e-006	0	0	0	0	0	3
40	25	0	0.753230763	5.10408622e-005	1.21625149e-005	-2.9502765e-006	5.10408622e-005	1.09824691e-005	0	0	0	0	0	3
41	25	0	0.772061532	7.1237763e-005	1.46914414e-005	-2.9502765e-006	7.1237763e-005	1.35113956e-005	0	0	0	0	0	3
42	26	0	0.790892301	5.84735396e-005	1.69048862e-005	-2.9502765e-006	7.1237763e-005	1.57248404e-005	0	0	0	0	0	3
