Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.018758565	24517639.7	24517639.7	24517639.7	24517639.7	0	0	0	3.05093e+007	0	0	3
2	2	0	0.03751713	12662704.8	18590172.2	12662704.8	24517639.7	5927467.47	0	0	3.17446e+007	0	0	3
3	3	0	0.056275695	10723151.2	15967831.9	10723151.2	24517639.7	8549807.8	0	0	3.5631e+007	0	0	3
4	3	0	0.07503426	9316808.77	14305076.1	9316808.77	24517639.7	10212563.6	0	0	3.72622e+007	0	0	3
5	4	0	0.093792825	8975963.07	13239253.5	8975963.07	24517639.7	11278386.2	0	0	3.80877e+007	0	0	3
6	4	0	0.11255139	8602554.65	12466470.4	8602554.65	24517639.7	12051169.3	0	0	3.75513e+007	0	0	3
7	5	0	0.131309955	8555553.93	11907768	8555553.93	24517639.7	12609871.7	0	0	3.63313e+007	0	0	3
8	5	0	0.15006852	8479191.93	11479196	8479191.93	24517639.7	13038443.7	0	0	3.44464e+007	0	0	3
9	6	0	0.168827085	8510650.53	11149357.6	8479191.93	24517639.7	13368282.1	0	0	3.24665e+007	0	0	3
10	6	0	0.18758565	8613186.04	10895740.5	8479191.93	24517639.7	13621899.2	0	0	3.06034e+007	0	0	3
11	7	0	0.206344215	8820035.84	10707040	8479191.93	24517639.7	13810599.7	0	0	2.96393e+007	0	0	3
12	8	0	0.22510278	9059840.93	10569773.4	8479191.93	24517639.7	13947866.3	0	0	2.8689e+007	0	0	3
13	8	0	0.243861345	9309359.37	10472818.5	8479191.93	24517639.7	14044821.2	0	0	2.80234e+007	0	0	3
14	9	0	0.26261991	9421952.88	10397756.7	8479191.93	24517639.7	14119883	0	0	2.74218e+007	0	0	3
15	9	0	0.281378475	9500730.8	10337955	8479191.93	24517639.7	14179684.7	0	0	2.66864e+007	0	0	3
16	10	0	0.30013704	9517120.4	10286652.8	8479191.93	24517639.7	14230986.9	0	0	2.64034e+007	0	0	3
17	10	0	0.318895605	9578012.45	10244968.1	8479191.93	24517639.7	14272671.6	0	0	2.60495e+007	0	0	3
18	11	0	0.33765417	9608985.01	10209635.7	8479191.93	24517639.7	14308004	0	0	2.58324e+007	0	0	3
19	11	0	0.356412735	9639010.64	10179602.8	8479191.93	24517639.7	14338036.9	0	0	2.56321e+007	0	0	3
20	12	0	0.3751713	9648788.58	10153062.1	8479191.93	24517639.7	14364577.6	0	0	2.53939e+007	0	0	3
21	12	0	0.393929865	9612144.97	10127304.1	8479191.93	24517639.7	14390335.6	0	0	2.52447e+007	0	0	3
22	13	0	0.41268843	9567204.06	10101845	8479191.93	24517639.7	14415794.7	0	0	2.50557e+007	0	0	3
23	13	0	0.431446995	9495755.49	10075493.3	8479191.93	24517639.7	14442146.4	0	0	2.48673e+007	0	0	3
24	14	0	0.45020556	9422486.41	10048284.7	8479191.93	24517639.7	14469355	0	0	2.46602e+007	0	0	3
25	14	0	0.468964125	9338161.61	10019879.8	8479191.93	24517639.7	14497759.9	0	0	2.4457e+007	0	0	3
26	15	0	0.48772269	9278284.65	9991356.87	8479191.93	24517639.7	14526282.8	0	0	2.43118e+007	0	0	3
27	15	0	0.506481255	9214744.89	9962593.47	8479191.93	24517639.7	14555046.2	0	0	2.42187e+007	0	0	3
28	16	0	0.52523982	9151365.45	9393472.2	8479191.93	12662704.8	4183512.82	0	0	2.41272e+007	0	0	3
29	16	0	0.543998385	9097068.56	9261411.6	8479191.93	10723151.2	2243959.3	0	0	2.40282e+007	0	0	3
30	17	0	0.56275695	9048639.26	9199392.64	8479191.93	9648788.58	1169596.64	0	0	2.39401e+007	0	0	3
31	17	0	0.581515515	9014212.56	9188185.37	8479191.93	9648788.58	1169596.64	0	0	2.38825e+007	0	0	3
32	18	0	0.60027408	8983424.38	9188461.71	8479191.93	9648788.58	1169596.64	0	0	2.38247e+007	0	0	3
33	18	0	0.619032645	8952286.13	9201414.73	8479191.93	9648788.58	1169596.64	0	0	2.37612e+007	0	0	3
34	19	0	0.63779121	8925450.95	9215114.62	8479191.93	9648788.58	1169596.64	0	0	2.37047e+007	0	0	3
35	19	0	0.656549775	8901303.98	9230748.4	8510650.53	9648788.58	1138138.05	0	0	2.36479e+007	0	0	3
36	20	0	0.67530834	8888155.09	9244730.05	8613186.04	9648788.58	1035602.54	0	0	2.36101e+007	0	0	3
37	20	0	0.694066905	8874261.54	9254399.51	8820035.84	9648788.58	828752.741	0	0	2.35767e+007	0	0	3
38	21	0	0.71282547	8862387.39	9255968.09	8862387.39	9648788.58	786401.188	0	0	2.35378e+007	0	0	3
39	21	0	0.731584035	8847439.63	9248101.38	8847439.63	9648788.58	801348.953	0	0	2.35089e+007	0	0	3
40	22	0	0.7503426	8837285.6	9230617.16	8837285.6	9648788.58	811502.979	0	0	2.34795e+007	0	0	3
41	22	0	0.769101165	8829476.38	9208673.59	8829476.38	9648788.58	819312.198	0	0	2.34554e+007	0	0	3
42	22	0	0.78785973	8822447.09	9183551.97	8822447.09	9648788.58	826341.488	0	0	2.34443e+007	0	0	3
43	23	0	0.806618295	8815453.07	9157564.29	8815453.07	9648788.58	833335.509	0	0	2.34181e+007	0	0	3
44	23	0	0.82537686	8808261.17	9129054.98	8808261.17	9648788.58	840527.408	0	0	2.34079e+007	0	0	3
45	24	0	0.844135425	8802895.83	9099199.83	8802895.83	9648788.58	845892.749	0	0	2.33867e+007	0	0	3
46	24	0	0.86289399	8796719.32	9068003.85	8796719.32	9648788.58	852069.258	0	0	2.3377e+007	0	0	3
47	25	0	0.881652555	8792408.38	9036286.07	8792408.38	9612144.97	819736.589	0	0	2.3359e+007	0	0	3
48	25	0	0.90041112	8788218.81	9005770.28	8788218.81	9567204.06	778985.247	0	0	2.33492e+007	0	0	3
49	26	0	0.919169685	8785706.32	8976825.92	8785706.32	9495755.49	710049.172	0	0	2.33361e+007	0	0	3
50	26	0	0.93792825	8773417.54	8950072.67	8773417.54	9422486.41	649068.873	0	0	2.33312e+007	0	0	3
51	27	0	0.956686815	8762285.39	8925620.78	8762285.39	9338161.61	575876.218	0	0	2.33043e+007	0	0	3
52	27	0	0.97544538	8753332.45	8903960.44	8753332.45	9278284.65	524952.202	0	0	2.32781e+007	0	0	3
53	28	0	0.994203945	8745079.38	8884212.09	8745079.38	9214744.89	469665.511	0	0	2.32583e+007	0	0	3
54	28	0	1.01296251	8738430.46	8866570.82	8738430.46	9151365.45	412934.984	67318.779	0	2.32386e+007	0	0	3
55	29	0	1.03172108	8732183.76	8851045.57	8732183.76	9097068.56	364884.802	67318.779	0	2.32238e+007	0	0	3
56	29	0	1.05047964	8727089.01	8837342.63	8727089.01	9048639.26	321550.256	67318.779	0	2.32033e+007	0	0	3
57	30	0	1.06923821	8724164.36	8825325.04	8724164.36	9014212.56	290048.203	67318.779	0	2.31922e+007	0	0	3
58	30	0	1.08799677	8721568.99	8814486.39	8721568.99	8983424.38	261855.387	67318.779	0	2.31742e+007	0	0	3
59	30	0	1.10675534	8721687.66	8804792.43	8721568.99	8952286.13	230717.136	67318.779	0	2.31672e+007	0	0	3
60	31	0	1.1255139	8719292.1	8796163.02	8719292.1	8925450.95	206158.848	67318.779	0	2.31521e+007	0	0	3
61	31	0	1.14427247	8719561.65	8788537.49	8719292.1	8901303.98	182011.883	67318.779	0	2.31478e+007	0	0	3
62	32	0	1.16303103	8729398.09	8782170.61	8719292.1	8888155.09	168862.993	67318.779	0	2.31478e+007	0	0	3
63	32	0	1.1817896	8728962.29	8776274.58	8719292.1	8874261.54	154969.445	67318.779	0	2.31417e+007	0	0	3
64	33	0	1.20054816	8730237.08	8770940.34	8719292.1	8862387.39	143095.291	67318.779	0	2.3103e+007	0	0	3
65	33	0	1.21930673	8730238.58	8766045.94	8719292.1	8847439.63	128147.527	67318.779	0	2.30977e+007	0	0	3
66	34	0	1.23806529	8732079.98	8761773.36	8719292.1	8837285.6	117993.501	67318.779	0	2.30872e+007	0	0	3
67	34	0	1.25682386	8729558.63	8757783.47	8719292.1	8829476.38	110184.282	67318.779	0	2.30542e+007	0	0	3
68	35	0	1.27558242	8740528.37	8754489.1	8719292.1	8822447.09	103154.991	67318.779	0	2.30341e+007	0	0	3
69	35	0	1.29434099	8735669.95	8751275.13	8719292.1	8815453.07	96160.9712	67318.779	0	2.30083e+007	0	0	3
70	36	0	1.31309955	8734556.94	8748278.98	8719292.1	8808261.17	88969.0718	67318.779	0	2.29715e+007	0	0	3
71	36	0	1.33185812	8732468.72	8745471.85	8719292.1	8802895.83	83603.7308	67318.779	0	2.2942e+007	0	0	3
