Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.018758565	293.19447	293.19447	293.19447	293.19447	0	0	0	2.18003	0	0	3
2	2	0	0.03751713	293.193056	293.193763	293.193056	293.19447	0.000706902734	0	0	1.86109	0	0	3
3	3	0	0.056275695	293.191597	293.193041	293.191597	293.19447	0.001428866	0	0	1.73923	0	0	3
4	3	0	0.07503426	293.190411	293.192384	293.190411	293.19447	0.00208622324	0	0	1.7158	0	0	3
5	4	0	0.093792825	293.189293	293.191765	293.189293	293.19447	0.00270431285	0	0	1.67265	0	0	3
6	4	0	0.11255139	293.187906	293.191122	293.187906	293.19447	0.00334754704	0	0	1.58795	0	0	3
7	5	0	0.131309955	293.18666	293.190485	293.18666	293.19447	0.00398501252	0	0	1.62101	0	0	3
8	5	0	0.15006852	293.185561	293.189869	293.185561	293.19447	0.00460045748	0	0	1.68137	0	0	3
9	6	0	0.168827085	293.184536	293.189277	293.184536	293.19447	0.00519308046	0	0	1.70805	0	0	3
10	6	0	0.18758565	293.183569	293.188706	293.183569	293.19447	0.00576388539	0	0	1.72087	0	0	3
11	7	0	0.206344215	293.182208	293.188115	293.182208	293.19447	0.00635456571	0	0	1.7625	0	0	3
12	8	0	0.22510278	293.13234	293.183467	293.13234	293.19447	0.0110024926	0	0	5.66458	0	0	3
13	8	0	0.243861345	293.080149	293.17552	293.080149	293.19447	0.0189500364	0	0	6.40344	0	0	3
14	9	0	0.26261991	293.058252	293.167143	293.058252	293.19447	0.0273262764	0	0	6.48606	0	0	3
15	9	0	0.281378475	293.043588	293.158906	293.043588	293.19447	0.0355633071	0	0	6.3458	0	0	3
16	10	0	0.30013704	293.043649	293.151703	293.043588	293.19447	0.0427668675	0	0	6.26761	0	0	3
17	10	0	0.318895605	293.033334	293.14474	293.033334	293.19447	0.0497297619	0	0	6.17968	0	0	3
18	11	0	0.33765417	293.029298	293.138327	293.029298	293.19447	0.056143224	0	0	6.11581	0	0	3
19	11	0	0.356412735	293.025151	293.13237	293.025151	293.19447	0.0620998255	0	0	6.09172	0	0	3
20	12	0	0.3751713	293.025174	293.12701	293.025151	293.19447	0.0674596041	0	0	6.0514	0	0	3
