Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0188307691	293.199997	293.199997	293.199997	293.199997	0	0	0	0.0021361	0	0	3
2	3	0	0.0376615382	293.200055	293.200026	293.199997	293.200055	2.9169006e-005	0	0	0.0834155	0	0	3
3	3	0	0.0564923072	293.200168	293.200073	293.199997	293.200168	7.64372578e-005	0	0	0.103993	0	0	3
4	4	0	0.0753230763	293.200244	293.200116	293.199997	293.200244	0.000119295901	0	0	0.099967	0	0	3
5	4	0	0.0941538454	293.200194	293.200132	293.199997	293.200244	0.000134924105	0	0	0.112343	0	0	3
6	5	0	0.112984614	293.199995	293.200109	293.199995	293.200244	0.000134924105	0	0	0.133434	0	0	3
7	5	0	0.131815384	293.1996	293.200036	293.1996	293.200244	0.000134924105	0	0	0.167944	0	0	3
8	6	0	0.150646153	293.199166	293.199927	293.199166	293.200244	0.000204084318	0	0	0.180861	0	0	3
9	6	0	0.169476922	293.198621	293.199782	293.198621	293.200244	0.000349231813	0	0	0.19321	0	0	3
10	7	0	0.188307691	293.198046	293.199609	293.198046	293.200244	0.000522848115	0	0	0.204692	0	0	3
11	7	0	0.20713846	293.197584	293.199425	293.197584	293.200244	0.000706871705	0	0	0.222993	0	0	3
12	8	0	0.225969229	293.198454	293.199344	293.197584	293.200244	0.000787769561	0	0	0.220319	0	0	3
13	9	0	0.244799998	293.200143	293.199405	293.197584	293.200244	0.000787769561	0	0	0.239745	0	0	3
14	9	0	0.263630767	293.201721	293.199571	293.197584	293.201721	0.000787769561	0	0	0.23909	0	0	3
15	10	0	0.282461536	293.203853	293.199856	293.197584	293.203853	0.000787769561	0	0	0.255133	0	0	3
16	11	0	0.301292305	293.206514	293.200272	293.197584	293.206514	0.000928472136	0	0	0.251632	0	0	3
17	12	0	0.320123074	293.208131	293.200735	293.197584	293.208131	0.00139076833	0	0	0.252036	0	0	3
18	12	0	0.338953843	293.208912	293.201189	293.197584	293.208912	0.00184506847	0	0	0.262438	0	0	3
19	13	0	0.357784612	293.209283	293.201615	293.197584	293.209283	0.00227110208	0	0	0.269391	0	0	3
20	13	0	0.376615382	293.209765	293.202022	293.197584	293.209765	0.0026786207	0	0	0.268653	0	0	3
21	14	0	0.395446151	293.212963	293.202543	293.197584	293.212963	0.00319962389	0	0	0.25848	0	0	3
22	14	0	0.41427692	293.215148	293.203116	293.197584	293.215148	0.0037725715	0	0	0.251065	0	0	3
23	15	0	0.433107689	293.217819	293.203756	293.197584	293.217819	0.00441180028	0	0	0.236575	0	0	3
24	15	0	0.451938458	293.22048	293.204452	293.197584	293.22048	0.00510866008	0	0	0.230077	0	0	3
25	16	0	0.470769227	293.223091	293.205198	293.197584	293.223091	0.00585421292	0	0	0.229202	0	0	3
