Iteration	CPUTime	PhysTime	Travels	CourFact
1	2	0	0.0188307691	0
2	3	0	0.0376615382	0
3	3	0	0.0564923072	0
4	4	0	0.0753230763	0
5	4	0	0.0941538454	0
6	5	0	0.112984614	0
7	5	0	0.131815384	0
8	6	0	0.150646153	0
9	6	0	0.169476922	0
10	7	0	0.188307691	0
11	7	0	0.20713846	0
12	8	0	0.225969229	0
13	9	0	0.244799998	0
14	9	0	0.263630767	0
15	10	0	0.282461536	0
16	11	0	0.301292305	0
17	12	0	0.320123074	0
18	12	0	0.338953843	0
19	13	0	0.357784612	0
20	13	0	0.376615382	0
21	14	0	0.395446151	0
22	14	0	0.41427692	0
23	15	0	0.433107689	0
24	15	0	0.451938458	0
25	16	0	0.470769227	0
26	16	0	0.489599996	0
27	17	0	0.508430765	0
28	18	0	0.527261534	0
29	18	0	0.546092303	0
30	19	0	0.564923072	0
31	19	0	0.583753841	0
32	20	0	0.60258461	0
33	21	0	0.62141538	0
34	21	0	0.640246149	0
35	22	0	0.659076918	0
36	22	0	0.677907687	0
37	23	0	0.696738456	0
38	24	0	0.715569225	0
39	24	0	0.734399994	0
40	25	0	0.753230763	0
41	25	0	0.772061532	0
42	26	0	0.790892301	0
43	26	0	0.80972307	0
44	27	0	0.828553839	0
45	28	0	0.847384608	0
46	28	0	0.866215378	0
47	29	0	0.885046147	0
48	29	0	0.903876916	0
49	30	0	0.922707685	0
50	31	0	0.941538454	0
51	31	0	0.960369223	0
52	32	0	0.979199992	0
53	32	0	0.998030761	0
54	33	0	1.01686153	0
55	34	0	1.0356923	0
56	34	0	1.05452307	0
57	35	0	1.07335384	0
58	35	0	1.09218461	0
59	36	0	1.11101538	0
60	36	0	1.12984614	0
61	37	0	1.14867691	0
62	38	0	1.16750768	0
63	38	0	1.18633845	0
64	39	0	1.20516922	0
65	39	0	1.22399999	0
66	40	0	1.24283076	0
67	41	0	1.26166153	0
68	41	0	1.2804923	0
69	42	0	1.29932307	0
70	43	0	1.31815384	0
71	43	0	1.3369846	0
72	44	0	1.35581537	0
73	44	0	1.37464614	0
74	45	0	1.39347691	0
75	46	0	1.41230768	0
